protocol,controlled_gt_prior,gt_prior_jitter_limit_m,prior_center_x,prior_center_y,prior_jitter_x,prior_jitter_y,progress_capped_to_gt,frame_id,image_path,gt_x,gt_y,gt_progress_s,gt_cross_e,gt_waypoint_leg,gt_step_parallel,gt_step_norm_m,controlled_gt_motion_envelope,gt_velocity_parallel,gt_heading_deg,gt_turn_rate_deg_per_frame,predicted_progress_s,predicted_cross_e,predicted_x,predicted_y,kalman_progress_std_m,acquisition_hypothesis_count,acquisition_radius_m,acquisition_selected_index,acquisition_target_index,acquisition_confidence,acquisition_margin,selected_hypothesis_center_s,selected_hypothesis_center_e,selected_candidate_capture,bank_candidate_capture,search_grid_size,search_candidate_count,forward_only_search,search_heading_deg,raw_top1_x,raw_top1_y,hardms_x,hardms_y,visual_anchor_x,visual_anchor_y,visual_anchor_s,visual_anchor_e,visual_entropy,visual_margin,visual_var_s,visual_var_e,candidate_capture,measurement_s,measurement_e,measurement_var_s,measurement_var_e,local_visual_confidence,kalman_raw_measurement_s,kalman_raw_measurement_e,kalman_used_measurement_s,kalman_used_measurement_e,kalman_measurement_clip_s,kalman_measurement_clip_e,kalman_posterior_projection_m,kalman_step_limited,kalman_step_limit_m,kalman_motion_step_s,kalman_motion_step_e,v_parallel,v_cross,a_parallel,a_cross,heading_residual_deg,turn_rate_deg_per_frame,estimated_heading_deg,polynomial_heading_deg,heading_error_deg,poly_next_step_parallel,poly_next_step_cross,kalman_nis,kalman_r_scale,final_progress_s,final_cross_e,waypoint_leg_before_update,waypoint_leg,target_waypoint,route_remaining_m,route_leg_progress,progress_error_m,speed_error_m_per_frame,final_x,final_y,final_step_m,gt_step_for_jump_m,excess_step_over_gt_m,abnormal_jump,error_final_m,end_to_end_latency_ms
GT+smooth-jitter_controlled_forward3x6_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,8.0,-22.286636481787085,-5.560398167149495,-3.505890021826147,-3.400800055043172,0,0,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,-18.780746459960938,-2.1595981121063232,7.820911271948188e-07,7.418177846642066e-08,0,0.0,0.0,1,0.0,173.90999929632898,0.0,0.0,0.0,-18.780745674413577,-2.1595981213156596,2.6781418662074157,1,0.0,0,0,0.8806277169438158,1.0,3.125312566757202,3.753549337387085,0,0,6,18,1,173.90999929632898,-27.803403854370117,4.475525379180908,-27.833980560302734,-0.28263363242149353,-27.870996475219727,3.531954526901245,9.642769813537598,-4.695042610168457,0.20116564631462097,0.6956769824028015,4.0,5.59530782699585,0,7.0548295974731445,-5.259933948516846,5.372540473937988,6.23231840133667,0.8806277169438158,7.0548295974731445,-5.259933948516846,4.6717262215954936,-2.803035732957296,2.383103375877651,-2.4568982155595496,0.0,1,0.0,0.0,0.0,1.1124602556228638,-0.01181797031313181,1.2319620847702026,0.004046862479299307,0.020267555830541385,-0.006799362855426777,173.93026685215952,173.93026685215952,0.020267555830541385,1.7284445762634277,-0.009183126501739025,1.0788651254868593,1.0,0.0,0.0,0,0,1,731.5633515869471,0.0,7.820911271948188e-07,1.1124602556228638,-18.780745674413577,-2.1595981213156596,0.0,0.0,0.0,0,7.856013413017934e-07,16.132475808262825
GT+smooth-jitter_controlled_forward3x6_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,8.0,-29.320126756208943,-4.996454472878796,-3.4008591017899956,-3.5381691411527214,0,1,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,-25.919267654418945,-1.4582853317260742,7.172638198106864,0.05997471900717796,0,7.172888153292986,7.172888153292986,1,7.172888153292986,174.38907188095573,0.4790725846267536,7.172638198106864,-0.0055098761804401875,-25.912320358535812,-1.3931703005366596,3.644997960670227,1,0.0,0,0,0.6732881524769546,1.0,10.178937911987305,3.9389750957489014,1,1,6,18,1,173.91709294053615,-32.565303802490234,-0.2526208460330963,-37.296630859375,-0.22260963916778564,-34.7143440246582,0.8735769391059875,16.165468215942383,-1.3256531953811646,0.5674453377723694,0.21394610404968262,8.460990905761719,7.943304061889648,1,12.871923446655273,-2.172614812850952,10.043609619140625,8.434810638427734,0.6732881524769546,12.871923446655273,-2.172614812850952,11.27418061741849,-2.172614812850952,1.5977428292367835,0.0,0.0,1,7.0,7.1728681568780965,-0.0055098761804401875,1.3305755853652954,-0.01504373736679554,1.7862416505813599,0.0056271846406161785,0.03644537247792566,-0.008613738158535533,173.9464446688069,173.9464446688069,0.442627212148828,2.2237038612365723,-0.010815667919814587,0.4093379713662561,1.0,6.957086981380954,-0.7739126136067593,0,0,1,724.6062646055661,0.009509889972330163,0.2155512167259106,5.84231256792769,-25.616465351433373,-0.6519720081150584,6.999999999999998,7.172888153292986,0.0,0,0.8612957741252474,14.798445627093315
GT+smooth-jitter_controlled_forward3x6_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,8.0,-32.171866822075074,-4.837355860378661,-3.2904295204393312,-3.672266372349181,0,2,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,-28.881437301635742,-1.16508948802948,10.149196069256064,0.08269170281191505,0,2.976644557493125,2.976644557493125,1,2.976644557493125,174.34727015796543,-0.041801722990300653,9.950968701304637,-0.7826059650170887,-28.592528740501013,-0.3257051978153225,3.0146035919436303,1,0.0,0,0,0.8004481112771742,1.0,13.031463623046875,4.083316802978516,0,0,6,18,1,173.9273660461396,-37.296630859375,-0.22260963916778564,-37.296630859375,-0.22260963916778564,-37.71079635620117,1.6148532629013062,19.223651885986328,-1.7448508739471436,0.3466506898403168,0.23261180520057678,4.0,5.779836654663086,0,15.720053672790527,-2.7250983715057373,5.691280364990234,6.209230899810791,0.8004481112771742,15.720053672790527,-2.7250983715057373,14.402201007316867,-2.7250983715057373,1.3178526654736604,0.0,0.8130741029193542,1,2.993894341364093,2.993881719923684,-0.008693351410329342,1.4449284076690674,-0.016649404540657997,2.0343220233917236,0.005611416418105364,0.050889338267384926,-0.010764246397334521,173.96088863459636,173.96088863459636,0.386381523369068,2.4621009826660156,-0.011656896211206913,0.43413435903700587,1.0,9.853747436914283,-1.5307227170021807,0,0,1,721.7096041500328,0.013469438313905416,0.2954486323417811,1.5317161498240575,-28.416488038696386,0.4078752818585283,2.993894341364094,2.976644557493125,0.017249783870969093,0,1.6402426602233846,14.767519198358059
GT+smooth-jitter_controlled_forward3x6_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,8.0,-35.01743958123959,-4.674853821484464,-3.1747004760149813,-3.8028744060677466,0,3,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,-31.84273910522461,-0.8719794154167175,13.12488189497482,0.1054019036524543,0,2.9757724856927044,2.9757724856927044,1,2.9757724856927044,174.34726770228437,-2.4556810541204664e-06,12.853148880396414,-1.541194195106772,-31.39785135820428,0.736495774386392,2.86667919711552,1,0.0,0,0,0.8311476698553296,1.0,15.878216743469238,4.223620414733887,0,0,6,18,1,173.93909895043194,-41.99738311767578,4.565558910369873,-42.0279541015625,-0.19259993731975555,-42.055519104003906,2.3219497203826904,23.618871688842773,-1.987022876739502,0.2855722904205322,0.16280853748321533,4.0,9.094951629638672,0,20.014873504638672,-3.050081729888916,5.757058143615723,9.490538597106934,0.8311476698553296,20.014873504638672,-3.050081729888916,17.38880497249857,-3.050081729888916,2.626068532140101,0.0,0.08582190655987976,1,2.999419722382379,2.9994014434821312,-0.01047147810459137,1.5163233280181885,-0.01753097027540207,2.1776559352874756,0.005646212957799435,0.06430080823899503,-0.013995074284622655,173.97430010456796,173.97430010456796,0.3729675977164038,2.605165958404541,-0.011784195899963379,0.6382719160813164,1.0,12.82572231435349,-1.9355486041272418,0,0,1,718.7376292725936,0.017531936621115907,0.2991595806213301,1.4594491576745159,-31.32874230358433,1.1257149350251352,2.999419722382378,2.9757724856927044,0.023647236689673612,0,2.0627591788388027,14.681301079690456
GT+smooth-jitter_controlled_forward3x6_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,8.0,-37.857903164306414,-4.508640038984245,-3.0537802395017297,-3.9297786832026897,0,4,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,-34.80412292480469,-0.5788613557815552,16.100650121172926,0.12811286366612776,0,2.9758548895661856,2.9758548895661856,1,2.9758548895661856,174.34727021093266,2.508648307008251e-06,15.825503037299935,-1.9468077129090564,-34.31039920192144,1.455158851178351,2.750364957753044,1,0.0,0,0,0.6552107459725398,1.0,18.72028350830078,4.359691143035889,1,1,6,18,1,173.95141935437954,-42.0279541015625,-0.19259993731975555,-42.0279541015625,-0.19259993731975555,-42.101200103759766,1.7650071382522583,23.605207443237305,-1.4283771514892578,0.30349382758140564,0.05370718240737915,4.0,9.498357772827148,1,19.951387405395508,-2.540165901184082,5.798659324645996,9.873893737792969,0.6552107459725398,19.951387405395508,-2.540165901184082,19.87733258872442,-2.540165901184082,0.07405481667108749,0.0,0.0,1,2.999801852338195,2.999780722946446,-0.011259108781814575,1.5614961385726929,-0.018632417544722557,2.2638537883758545,0.005143247079104185,0.0761182761429468,-0.01631521917605124,173.9861175724719,173.9861175724719,0.36115263846075907,2.693441867828369,-0.012482527643442154,0.5449399325047996,1.0,15.820684140774723,-2.105885950505705,0,0,1,715.7426674461724,0.021625856607572855,0.2799659803982024,1.4143587509934927,-34.288730805276046,1.612828087326035,2.9998018523381975,2.9758548895661856,0.023946962772011915,0,2.251473218117747,14.54442460089922
GT+smooth-jitter_controlled_forward3x6_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,8.0,-41.004842975164706,-4.304938624144119,-2.9277860903990813,-4.0527678229814,0,5,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,-38.077056884765625,-0.2521708011627197,19.38977197054549,0.1504933176997437,0,3.2891979911131446,3.2891979911131446,1,3.2891979911131446,174.29985586865408,-0.047414342278598545,19.132273318980477,-2.117879110977025,-37.58035858389266,1.9760818390575596,3.6981284569309834,1,0.0,0,0,0.29261112105967885,1.0,21.871074676513672,4.490999698638916,0,0,6,18,1,173.96356373087863,-51.490604400634766,-0.13258513808250427,-51.52117156982422,-4.890744209289551,-52.043426513671875,-3.464555263519287,32.936519622802734,4.826448440551758,0.8812020421028137,0.05066703259944916,13.781455993652344,50.128414154052734,0,29.252466201782227,3.6819355487823486,15.608749389648438,50.490726470947266,0.29261112105967885,29.252466201782227,3.6819355487823486,22.186953901894594,-0.285070761228555,7.065512299887632,3.9670063100109036,0.0,1,3.3116108951849337,3.3115891782057547,-0.011993160471320152,1.5923739671707153,-0.019153110682964325,2.3214223384857178,0.004982297308743,0.08594056174699453,-0.018391398248063427,173.99593985807596,173.99593985807596,0.30391601057811274,2.7531070709228516,-0.012532467022538185,0.016802134067179408,1.0,19.132289186587787,-2.099661671188915,0,0,1,712.4310624003593,0.026152607487902425,0.25748278395770186,1.6968240239424293,-37.58230705992462,1.957968893262708,3.3116108951849283,3.2891979911131446,0.022412904071783757,0,2.2648388150274914,14.769172295928001
GT+smooth-jitter_controlled_forward3x6_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,8.0,-44.1401860619692,-4.097777656010714,-2.796844234576623,-4.17163401722106,0,6,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,-41.34334182739258,0.07385636121034622,22.672211946844765,0.17282802228696428,0,3.282515961429067,3.282515961429067,1,3.282515961429067,174.29985092199666,-4.946657410540945e-06,22.435397691923086,-2.111978415963495,-40.865467697333806,2.3206446840003303,4.731717182627967,1,0.0,0,0,0.26719645478692106,1.0,25.01070213317871,4.617638111114502,1,1,6,18,1,173.97489537823247,-51.490604400634766,-0.13258513808250427,-51.52117156982422,-4.890744209289551,-51.92129898071289,-3.949991226196289,32.763580322265625,5.296187877655029,0.8769481778144836,0.038620725274086,14.275875091552734,45.9217414855957,1,29.058361053466797,4.126881122589111,16.124008178710938,46.274715423583984,0.26719645478692106,29.058361053466797,4.126881122589111,25.42018794258712,-0.3211042655650749,3.6381731108796775,4.447985388154187,0.0,1,3.303131468806569,3.3031085053353,-0.012316744774580002,1.6151210069656372,-0.019770853221416473,2.3624587059020996,0.004705232102423906,0.09402718555917229,-0.020389078502893402,174.00402648188813,174.00402648188813,0.2958244401085245,2.796375274658203,-0.012829169631004333,0.012402055457252164,1.0,22.43539907509475,-2.08772162647489,0,0,1,709.1279525118523,0.03066774603515425,0.23681287175001486,1.66739495446343,-40.86804248852759,2.296524935068884,3.3031314688065696,3.282515961429067,0.020615507377502507,0,2.272919939360786,15.067661181092262
GT+smooth-jitter_controlled_forward3x6_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,8.0,-47.2794025398481,-3.8854232629079872,-2.6610897041547403,-4.286173423125272,0,7,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,-44.61831283569336,0.40075016021728516,25.963380910728766,0.19522249050012924,0,3.291245153591544,3.291245153591544,1,3.291245153591544,174.29985734525803,6.423261370735073e-06,25.74558316324969,-2.1003458269083826,-44.158206159386665,2.6602570987139806,5.772801200704218,1,0.0,0,0,0.2813344694190863,1.0,28.15472984313965,4.739523410797119,1,1,6,18,1,173.98509126317794,-60.95325469970703,-0.07257647067308426,-56.25249481201172,-4.860738754272461,-56.82893753051758,-4.100428104400635,37.6275634765625,5.966430187225342,0.8764746189117432,0.04366965591907501,13.508346557617188,44.75054931640625,1,33.907501220703125,4.778873443603516,15.372320175170898,45.09657287597656,0.2813344694190863,33.907501220703125,4.778873443603516,28.76925295415218,-0.2861439523668903,5.138248266550947,5.065017395970406,0.0,1,3.310208160812662,3.3101840881549416,-0.01262420043349266,1.6325725317001343,-0.020355869084596634,2.3938653469085693,0.0044387346133589745,0.10155918333651047,-0.022206120598001703,174.01155847966547,174.01155847966547,0.288298865592557,2.829533100128174,-0.013121059164404869,0.013343866137324559,1.0,25.74551607955922,-2.0631557015805573,0,0,1,705.8178355073878,0.035192462858767655,0.21786483116954614,1.6586726218914096,-44.162084974660054,2.623269739870779,3.3102081608126634,3.291245153591544,0.018963007221119543,0,2.268862521865564,14.912943355739117
GT+smooth-jitter_controlled_forward3x6_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,8.0,-50.45917713416896,-3.6691213481962457,-2.5206662393935693,-4.396186553770281,0,8,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,-47.93851089477539,0.7270652055740356,29.29946028508333,0.2229906082666523,0,3.3361949374037283,3.3361949374037283,1,3.3361949374037283,174.38689418808866,0.08703684283063444,29.09913095841258,-2.076078017438862,-47.49540270620696,2.991905932435729,6.897621434848412,1,0.0,0,0,0.21304948223999054,1.0,31.339508056640625,4.861785888671875,0,0,6,18,1,173.99435478728105,-65.68457794189453,-0.0425744354724884,-60.98381805419922,-4.830735206604004,-60.105010986328125,-4.62911319732666,40.82905960083008,6.839691638946533,0.8653080463409424,0.013648644089698792,16.75853729248047,40.54231262207031,0,37.099510192871094,5.639917850494385,18.634063720703125,40.88336181640625,0.21304948223999054,37.099510192871094,5.639917850494385,31.935017034572553,-0.3745463717428774,5.164493158298539,6.014464222237262,0.0,1,3.3536397752164397,3.3536148788533593,-0.0129223158583045,1.6454867124557495,-0.020851457491517067,2.416576623916626,0.00412772037088871,0.10794553027239139,-0.02335397090711404,174.01794482660137,174.01794482660137,0.36894936148731056,2.8538053035736084,-0.013411039486527443,0.005753540740852671,1.0,29.099027095154952,-2.033768456186577,0,0,1,702.4643244917921,0.039776496501679255,0.2004331899283791,1.6907082249479788,-47.499788073187126,2.9498241273724193,3.3536397752164424,3.3361949374037283,0.01744483781271411,0,2.265642279490891,14.794716611504555
GT+smooth-jitter_controlled_forward3x6_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,8.0,-53.63432066555253,-3.448109977798337,-2.375726152613076,-4.501478665428037,0,9,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,-51.25859451293945,1.0533686876296997,32.635424637613376,0.25075808297800684,0,3.3360799142111426,3.3360799142111426,1,3.3360799142111426,174.38689958652537,5.39843670493681e-06,32.45113241962588,-2.0469840073394026,-50.83157366007067,3.318591750915563,7.975837620930189,1,0.0,0,0,0.23726187399430207,1.0,34.520179748535156,4.978874683380127,1,1,6,18,1,174.00261129870862,-60.95325469970703,-0.07257647067308426,-60.98381805419922,-4.830735206604004,-60.29129409790039,-4.506804466247559,41.02726745605469,6.7378363609313965,0.881482720375061,0.0266532301902771,15.568018913269043,40.824378967285156,1,37.28877639770508,5.526304721832275,17.453784942626953,41.16106033325195,0.23726187399430207,37.28877639770508,5.526304721832275,35.35360257311021,-0.3055019152488039,1.9351738245948686,5.831806637081079,0.0,1,3.3521313752803006,3.352105324470925,-0.013215551152825356,1.656850814819336,-0.021200308576226234,2.436511993408203,0.003985126502811909,0.1135601392032336,-0.024721622906916534,174.0235594355322,174.0235594355322,0.36334015099317324,2.8751392364501953,-0.013509255833923817,0.0071256923175496275,1.0,32.45087939516705,-1.9905143691865028,0,0,1,699.1124721917801,0.04435826278718423,0.18454524244632609,1.6792290993918066,-50.837312957810184,3.2624139571180724,3.352131375280296,3.3360799142111426,0.01605146106915356,0,2.24885729901679,14.652164652943611
