sequence_index,frame_id,image_path,active_waypoint_from,active_waypoint_to,gt_x,gt_y,visual_x,visual_y,final_x,final_y,selected_patch_x,selected_patch_y,progress_s_visual_m,progress_s_final_m,cross_visual_m,cross_final_m,rnn_delta_s_raw_m,predicted_step_m,rnn_delta_cross_m,motion_probability,polynomial_step_m,inertia_cap_m,selected_patch_progress_s_m,candidate_probability_max,candidate_probability_margin,candidate_route_distance_m,route_heading_deg,heading_residual_deg,estimated_heading_deg,search_heading_deg,measurement_variance_s,measurement_variance_cross,forward_candidate_count,error_visual_m,error_final_m
0,0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,0,1,-37.63298034667969,0.8348962068557739,-38.90017318725586,0.7396479249000549,-37.90338897705078,0.7499459981918335,-42.0279541015625,-0.19259993731975555,1.25,0.2599009900990099,0.22879372537136078,0.11308484946901673,2.991974353790283,1.25,0.22879372537136078,0.9982261061668396,0.0,1.25,4.261584281921387,0.0792144313454628,0.001633860170841217,1.4867552518844604,173.92622867160193,-0.48699937137193205,173.43922930023,173.92622867160193,16.0,2.1998887062072754,18,1.2707674503326416,0.28343847393989563
1,1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,0,1,-47.69226837158203,1.7922438383102417,-40.9030647277832,0.8381767868995667,-38.449520111083984,0.7249192595481873,-42.0279541015625,-0.19259993731975555,3.252074718475342,0.800318940635289,0.3427417278289795,0.1957566961704909,2.992173671722412,2.992173671722412,0.2296568602323532,0.9982695579528809,2.5,3.0,4.261584281921387,0.07869606465101242,0.0019382312893867493,1.4867552518844604,173.92622867160193,-0.4896281937895936,173.43660047781233,173.43922930022998,16.0,2.1998887062072754,18,6.855911731719971,9.304169654846191
2,2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,0,1,-50.9120979309082,2.1374623775482178,-41.449195861816406,0.8131495714187622,-38.93838119506836,0.7076972723007202,-42.0279541015625,-0.19259993731975555,3.792492628097534,1.2846161797764535,0.42541399598121643,0.26460814913947145,2.992173671722412,2.992173671722412,0.22965729236602783,0.9982695579528809,3.0,3.0,4.261584281921387,0.07920226454734802,0.0017125681042671204,1.4867552518844604,173.92622867160193,-0.4896287273981225,173.4365999442038,173.43660047781233,16.0,2.1998887062072754,18,9.555120468139648,12.058777809143066
3,3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,0,1,-54.1414794921875,2.4837052822113037,-41.93806076049805,0.7959276437759399,-39.38666915893555,0.6932714581489563,-42.0279541015625,-0.19259993731975555,4.276789665222168,1.7288596397065794,0.4942653775215149,0.32638558256947425,2.992173671722412,2.992173671722412,0.22965721786022186,0.9982695579528809,2.992173671722412,3.0,4.261584281921387,0.0787937119603157,0.0007746517658233643,1.4867552518844604,173.92622867160193,-0.48963086183223814,173.4365978097697,173.4365999442038,16.0,2.1998887062072754,18,12.319579124450684,14.863043785095215
4,4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,0,1,-57.659645080566406,2.8609108924865723,-42.38634490966797,0.7815020084381104,-39.80533218383789,0.6795827150344849,-42.0279541015625,-0.19259993731975555,4.721033096313477,2.143725013467178,0.5560427904129028,0.3842958504850133,2.992173671722412,2.992173671722412,0.22965717315673828,0.9982695579528809,2.992173671722412,3.0,4.261584281921387,0.07892075181007385,0.0005552321672439575,1.4867552518844604,173.92622867160193,-0.4896321958535604,173.43659647574836,173.4365978097697,16.0,2.1998887062072754,18,15.414202690124512,17.987070083618164
5,5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,0,1,-60.85377502441406,3.1642963886260986,-42.80500793457031,0.7678127884864807,-40.201908111572266,0.6657460331916809,-46.75927734375,-0.16259177029132843,5.135898590087891,2.5366082096665696,0.6139535307884216,0.4400158821670902,2.992173671722412,2.992173671722412,0.22965767979621887,0.9982695579528809,2.992173671722412,3.0,8.969523429870605,0.07107562571763992,0.007639788091182709,1.9575316905975342,173.92622867160193,-0.48962168376554094,173.4366069878364,173.43659647574836,16.0,2.1998887062072754,18,18.207172393798828,20.802461624145508
6,6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,0,1,-64.02477264404297,3.465484857559204,-43.20158386230469,0.753976047039032,-40.58174514770508,0.6514013409614563,-46.75927734375,-0.16259177029132843,5.528781890869141,2.912796374051981,0.6696735620498657,0.4944703374753694,2.992173671722412,2.992173671722412,0.22965766489505768,0.9982695579528809,2.992173671722412,3.0,8.969523429870605,0.07129158079624176,0.008003853261470795,1.9575316905975342,173.92622867160193,-0.4896224308174814,173.43660624078444,173.43660698783637,16.0,2.1998887062072754,18,20.998987197875977,23.611324310302734
7,7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,0,1,-67.50447845458984,3.795994520187378,-43.5814208984375,0.7396312952041626,-40.948753356933594,0.6364352703094482,-46.75927734375,-0.16259177029132843,5.904970169067383,3.2761609986777303,0.724128007888794,0.5481851168052534,2.992173671722412,2.992173671722412,0.22965766489505768,0.9982695579528809,2.992173671722412,3.0,8.969523429870605,0.0711674764752388,0.008064217865467072,1.9575316905975342,173.92622867160193,-0.4896217904872467,173.4366068811147,173.43660624078444,16.0,2.1998887062072754,18,24.11750602722168,26.743024826049805
8,8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,0,1,-70.70535278320312,4.076558589935303,-43.948429107666016,0.7246654033660889,-41.30583572387695,0.620850682258606,-46.75927734375,-0.16259177029132843,6.268335342407227,3.6295901541399402,0.7778427600860596,0.6014646840526117,2.9921741485595703,2.9921741485595703,0.2296576201915741,0.9982696771621704,2.992173671722412,3.0,8.969523429870605,0.07034137845039368,0.007361948490142822,1.9575316905975342,173.92622867160193,-0.48962152368298223,173.43660714791895,173.43660688111467,16.0,2.1998887062072754,18,26.966054916381836,29.601917266845703
9,9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,0,1,-73.90149688720703,4.35670804977417,-44.30551528930664,0.709080696105957,-41.65518569946289,0.6047016978263855,-46.75927734375,-0.16259177029132843,6.621764183044434,3.975269553079052,0.8311225175857544,0.6544872233701101,2.9921741485595703,2.9921741485595703,0.2296578288078308,0.9982696771621704,2.9921746253967285,3.0,8.969523429870605,0.07134091854095459,0.008221879601478577,1.9575316905975342,173.92622867160193,-0.4896223240957756,173.43660634750617,173.43660714791895,16.0,2.1998887062072754,18,29.819913864135742,32.46385955810547
