sequence_index,frame_id,image_path,active_leg_before,active_leg_after,active_waypoint_from,active_waypoint_to,search_heading_deg,forward_local_candidate_count,topology_recovery_candidate_count,selected_branch,selected_local_index,selected_recovery_index,leg_choice,leg_state_delta,leg_probability_previous,leg_probability_current,leg_probability_next,waypoint_switched_after_frame,waypoint_advanced_after_frame,waypoint_rollback_after_frame,gt_x,gt_y,hold_x,hold_y,local_x,local_y,recovery_x,recovery_y,fusion_hold,fusion_local,fusion_recovery,visual_x,visual_y,measurement_var_x,measurement_var_y,final_x,final_y,error_visual_m,error_final_m
0,0,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,0,1,0,1,173.90999868913076,18,24,0,14,0,2,1,0.0,0.1552358716726303,0.8447641134262085,1,1,0,-18.780746459960938,-2.1595981121063232,-18.780746459960938,-2.1595981121063232,-27.772829055786133,9.233684539794922,-27.772829055786133,9.233684539794922,0.3341672718524933,0.33247870206832886,0.33335402607917786,-18.780746459960938,-2.1595981121063232,39.18965148925781,38.811519622802734,-18.780746459960938,-2.1595981121063232,0.0,0.0
1,1,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,1,2,1,2,-6.054706999819024,1,24,0,0,0,2,1,0.4355434477329254,0.04085661470890045,0.5235999226570129,1,1,0,-25.919267654418945,-1.4582853317260742,-18.780746459960938,-2.1595981121063232,-547.88427734375,64.86560821533203,-27.772829055786133,9.233684539794922,0.3333539068698883,0.3333315849304199,0.3333145081996918,-18.780746459960938,-2.1595981121063232,49.0,49.0,-18.780746459960938,-2.1595981121063232,7.172888278961182,7.172888153292986
2,2,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,2,3,2,3,64.8280188990096,1,24,1,0,0,2,1,0.4347495436668396,0.034316543489694595,0.5309339165687561,1,1,0,-28.881437301635742,-1.16508948802948,-18.780746459960938,-2.1595981121063232,-514.7344970703125,69.41481018066406,-263.9427185058594,72.58848571777344,0.333255797624588,0.33343666791915894,0.33330750465393066,-514.7344970703125,69.41481018066406,49.0,49.0,-81.95261347144316,6.945487517177039,490.9528503417969,53.68734673462751
3,3,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,3,4,3,4,-8.684960653231615,16,24,1,15,0,2,1,0.43457871675491333,0.033212654292583466,0.5322086215019226,1,1,0,-31.84273910522461,-0.8719794154167175,-514.7344970703125,69.41481018066406,-505.2109375,78.87141418457031,-263.8512268066406,86.86296081542969,0.3332348167896271,0.3334597945213318,0.33330538868904114,-505.2109375,78.87141418457031,49.0,49.0,-132.13747428054606,15.46448303169973,480.0379943847656,101.61650411805115
4,4,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,4,5,4,5,133.70575009363648,1,24,1,0,0,2,1,0.4344770312309265,0.03268570080399513,0.5328372120857239,1,1,0,-34.80412292480469,-0.5788613557815552,-505.2109375,78.87141418457031,-391.2626647949219,140.01040649414062,-263.8512268066406,86.86296081542969,0.3332306444644928,0.3334634006023407,0.33330589532852173,-391.2626647949219,140.01040649414062,49.0,49.0,-161.07459620055255,29.360367605720622,383.1814880371094,129.7712982600182
5,5,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,5,6,5,6,-24.56801493870073,1,24,1,0,0,2,1,0.43438220024108887,0.032642170786857605,0.5329756736755371,1,1,0,-38.077056884765625,-0.2521708011627197,-391.2626647949219,140.01040649414062,-381.86083984375,130.43429565429688,-263.8512268066406,86.86296081542969,0.33322441577911377,0.3334713280200958,0.3333042562007904,-381.86083984375,130.43429565429688,49.0,49.0,-184.52151160954676,40.08607738181497,367.78558349609375,151.89849435103028
6,6,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,6,7,6,7,158.367709499257,1,24,1,0,0,2,1,0.4342024326324463,0.0322968065738678,0.5335006713867188,1,1,0,-41.34334182739258,0.07385636121034622,-381.86083984375,130.43429565429688,-263.8207092285156,91.6211166381836,-263.8207092285156,91.6211166381836,0.33322426676750183,0.33347034454345703,0.33330535888671875,-263.8207092285156,91.6211166381836,49.0,49.0,-192.59432518806148,45.32912375385584,240.57655334472656,157.8762147834473
7,7,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,7,8,7,8,143.8179564509729,18,24,1,14,0,2,1,0.43417954444885254,0.03246567025780678,0.5333548188209534,1,1,0,-44.61831283569336,0.40075016021728516,-263.8207092285156,91.6211166381836,-263.8207092285156,91.6211166381836,-263.8207092285156,91.6211166381836,0.3332222104072571,0.3334727883338928,0.3333050310611725,-263.8207092285156,91.6211166381836,49.0,49.0,-199.59173852280225,49.87450950387543,237.42544555664062,162.6788724229181
8,8,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,8,9,8,9,131.37333644939633,1,24,1,0,0,2,1,0.43410807847976685,0.03247242420911789,0.5334194302558899,1,1,0,-47.93851089477539,0.7270652055740356,-263.8207092285156,91.6211166381836,-386.0439453125,216.11099243164062,-263.8207092285156,91.6211166381836,0.3332204222679138,0.3334747850894928,0.3333047926425934,-386.0439453125,216.11099243164062,49.0,49.0,-217.36764483447482,65.71596601399334,400.8809509277344,181.46566798114506
9,9,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,9,10,9,10,-31.725260524087865,1,24,1,0,0,2,1,0.43394383788108826,0.03213004395365715,0.5339260697364807,1,1,0,-51.25859451293945,1.0533686876296997,-386.0439453125,216.11099243164062,-461.4723205566406,259.41253662109375,-4.1773552894592285,-0.4327203929424286,0.33321627974510193,0.3334801197052002,0.33330363035202026,-461.4723205566406,259.41253662109375,49.0,49.0,-240.05825950577486,83.71408679098411,484.79351806640625,206.10217810292326
10,10,/yh/study/new_data/model_dataset_flight/vi/vi_000010.jpg,10,9,10,11,-32.312776748781275,13,24,1,4,0,0,-1,0.9296190142631531,0.07038097828626633,0.0,1,0,1,-54.585689544677734,1.3803616762161255,-461.4723205566406,259.41253662109375,-456.7713317871094,254.62449645996094,-4.1773552894592285,-0.4327203929424286,0.3332130014896393,0.33348390460014343,0.3333031237125397,-456.7713317871094,254.62449645996094,49.0,49.0,-259.7768733469632,99.26015472608064,475.2745361328125,227.3408801726333
