sequence_index,frame_id,image_path,active_waypoint_from,active_waypoint_to,waypoint_branch_selected,waypoint_switched_after_frame,mission_complete,gt_x,gt_y,hold_x,hold_y,local_x,local_y,recovery_x,recovery_y,waypoint_x,waypoint_y,global_top1_x,global_top1_y,polynomial_x,polynomial_y,branch_hold,branch_local,branch_recovery,branch_waypoint,selected_branch,visual_x,visual_y,observed_delta_parallel,observed_delta_cross,observed_acc_parallel,observed_acc_cross,measurement_var_x,measurement_var_y,final_x,final_y,error_visual_m,error_final_m
0,0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,0,1,0,0,0,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,-37.992645263671875,-1.2786555290222168,-33.52928161621094,7.749312877655029,-763.8019409179688,77.95606231689453,-27.772829055786133,9.233684539794922,-37.63298034667969,0.8348962068557739,0.6610540151596069,0.32162463665008545,0.006535731256008148,0.010785616934299469,0,-45.55401611328125,1.0321159362792969,7.897439002990723,0.6420032382011414,7.897439002990723,0.6420032382011414,7.0,7.0,-42.14187762920673,0.94715974514301,7.923490524291992,4.510294647404817
1,1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,0,1,0,0,0,-47.69226837158203,1.7922438383102417,-45.55401611328125,1.0321159362792969,-44.161922454833984,-1.2097208499908447,-32.69776916503906,8.169644355773926,-763.98779296875,78.77371978759766,-27.772829055786133,9.233684539794922,-57.435569763183594,1.3279457092285156,0.510879397392273,0.4849470257759094,0.0030518046114593744,0.0011217977153137326,0,-45.6456298828125,0.05393655598163605,-0.012400567531585693,0.9823819398880005,-7.909839630126953,0.34037870168685913,7.0,7.0,-43.46253193636865,0.6104809600465797,2.6852264404296875,4.391723330517717
2,2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,0,1,0,0,0,-50.9120979309082,2.1374623775482178,-45.6456298828125,0.05393655598163605,-45.07391357421875,-1.7413095235824585,-33.2908935546875,7.860288619995117,-763.8455200195312,78.16109466552734,-27.772829055786133,9.233684539794922,-41.822532653808594,-1.5119425058364868,0.712739884853363,0.278598427772522,0.004378549288958311,0.004283212590962648,0,-48.50846481323242,-0.07748615741729736,2.8328585624694824,0.4335983097553253,2.845259189605713,-0.5487836599349976,7.0,7.0,-44.93647698134364,0.40952194044862933,3.2685546875,6.220435988501034
3,3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,0,1,0,0,0,-54.1414794921875,2.4837052822113037,-48.50846481323242,-0.07748615741729736,-45.414424896240234,-1.7076644897460938,-33.54271697998047,7.876686096191406,-763.5833740234375,77.55716705322266,-27.772829055786133,9.233684539794922,-52.75691223144531,0.2144695222377777,0.8054195642471313,0.17927567660808563,0.004843913484364748,0.010460863821208477,0,-55.36158752441406,0.4809173345565796,6.873736381530762,0.16985231637954712,4.040877819061279,-0.2637459933757782,7.0,7.0,-47.5102885831127,0.4271484483795271,2.345170259475708,6.942774581057381
4,4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,0,1,0,0,0,-57.659645080566406,2.8609108924865723,-55.36158752441406,0.4809173345565796,-60.47265625,-1.702174186706543,-32.630130767822266,8.389172554016113,-763.7469482421875,78.31201934814453,-27.772829055786133,9.233684539794922,-64.20985412597656,1.3842339515686035,0.5822662711143494,0.41383305191993713,0.0028091701678931713,0.0010914687300100923,0,-58.18603515625,-0.31535226106643677,2.7243402004241943,1.0906513929367065,-4.149395942687988,0.9207990765571594,7.0,7.0,-49.86251575562385,0.26355048992271146,3.21958589553833,8.21836399599615
5,5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,0,1,0,0,0,-60.85377502441406,3.1642963886260986,-58.18603515625,-0.31535226106643677,-59.85392379760742,-2.5065834522247314,-33.1076774597168,8.090469360351562,-763.683837890625,78.01490783691406,-27.772829055786133,9.233684539794922,-58.99614715576172,-1.7889585494995117,0.7019424438476562,0.2916230261325836,0.0036842075642198324,0.00275033013895154,0,-60.5203857421875,-0.7079628705978394,2.279705047607422,0.6374017000198364,-0.44463515281677246,-0.4532496929168701,7.0,7.0,-52.03514491844641,0.0655054526122826,3.886584520339966,9.34723179401262
6,6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,0,1,0,0,0,-64.02477264404297,3.465484857559204,-60.5203857421875,-0.7079628705978394,-69.1016845703125,-1.8489772081375122,-33.33545684814453,7.934817790985107,-763.5857543945312,77.71629333496094,-27.772829055786133,9.233684539794922,-62.60968780517578,-0.8987439870834351,0.7838611006736755,0.20589162409305573,0.004214110318571329,0.006033179350197315,0,-66.41436767578125,-0.43331894278526306,5.889955997467041,0.3505333662033081,3.610250949859619,-0.2868683338165283,7.0,7.0,-54.81416381426577,-0.030900482805772025,4.572836875915527,9.85190466171333
7,7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,0,1,0,0,0,-67.50447845458984,3.795994520187378,-66.41436767578125,-0.43331894278526306,-73.89833068847656,-0.16244149208068848,-32.74555969238281,8.290573120117188,-763.6246948242188,78.06614685058594,-27.772829055786133,9.233684539794922,-74.08816528320312,0.1749524176120758,0.677592933177948,0.3176933228969574,0.003026622347533703,0.0016870867693796754,0,-69.86631774902344,-0.18842363357543945,3.458484649658203,0.12172636389732361,-2.431471347808838,-0.2288070023059845,7.0,7.0,-57.61864325270894,-0.06024979980898196,4.631832599639893,10.611331579695914
8,8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,0,1,0,0,0,-70.70535278320312,4.076558589935303,-69.86631774902344,-0.18842363357543945,-78.757568359375,0.0075817108154296875,-32.83361053466797,8.336088180541992,-763.5171508789062,77.79737854003906,-27.772829055786133,9.233684539794922,-72.09725189208984,0.04159736633300781,0.6774858832359314,0.3171226978302002,0.0033341916278004646,0.002057234523817897,0,-73.98946380615234,0.0625915452837944,4.126560688018799,0.1866593211889267,0.6680760383605957,0.06493295729160309,7.0,7.0,-60.59306858193348,-0.037930673707321005,5.186262130737305,10.917294246647293
9,9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,0,1,0,0,0,-73.90149688720703,4.35670804977417,-73.98946380615234,0.0625915452837944,-83.43275451660156,-0.3730713725090027,-32.8438835144043,8.275444984436035,-763.5435791015625,77.87235260009766,-27.772829055786133,9.233684539794922,-78.44821166992188,0.31666678190231323,0.7130760550498962,0.2813732326030731,0.0032639247365295887,0.002286758739501238,0,-78.08910369873047,0.14474594593048096,4.085319519042969,0.35208505392074585,-0.04124116897583008,0.16542573273181915,7.0,7.0,-63.7175217061239,-0.005308166314436591,5.939417362213135,11.078832788626121
