frame_id,dt_raw,dt_used,gt_x,gt_y,raw_visual_x,raw_visual_y,fused_mode1_x,fused_mode1_y,selected_visual_x,selected_visual_y,prediction_x,prediction_y,final_x,final_y,velocity_x,velocity_y,grid_size,search_level,search_center_count,candidate_captured,selected_mode,boundary,entropy,mode_support,mode_local_mass,mode_spatial_std,mode_peak_prob,visual_confidence,confidence,measurement_std,innovation_m,along_innovation_m,cross_innovation_m,bounded_along_m,bounded_cross_m,velocity_gain,lost_streak
5,1,1.0,-57.659645080566406,2.8609108924865723,-60.92268753051758,4.685582160949707,-60.92268753051758,4.685582160949707,-60.92268753051758,4.685582160949707,-61.82803726196289,3.2783589363098145,-61.7073860168457,3.465893030166626,-4.128006458282471,0.5036002397537231,6,normal,1,1,0,0,0.964286208152771,1.0,0.938969075679779,9.689451217651367,0.03802358731627464,0.8180249333381653,0.8084104061126709,8.36443730695297,1.6733007431030273,-0.7606172561645508,-1.4904351234436035,-0.7606172561645508,-1.4904351234436035,0.2829436421394348,0
6,1,1.0,-57.659645080566406,2.8609108924865723,-60.92268753051758,4.685582160949707,-60.92268753051758,4.685582160949707,-60.92268753051758,4.685582160949707,-65.83539581298828,3.9694933891296387,-64.7940444946289,4.121283054351807,-3.6322221755981445,0.5710248351097107,6,normal,1,1,0,0,0.931893527507782,1.0,0.9186220765113831,9.253450393676758,0.044701941311359406,0.8276393413543701,0.8020552396774292,8.032123873042481,4.96462345123291,-4.7898359298706055,-1.3057386875152588,-4.7898359298706055,-1.3057386875152588,0.2807193338871002,0
7,1,1.0,-67.50447845458984,3.795994520187378,-60.92268753051758,4.685582160949707,-60.92268753051758,4.685582160949707,-60.92268753051758,4.685582160949707,-68.42626953125,4.692307949066162,-66.84571075439453,4.747384071350098,-3.0527291297912598,0.6019309759140015,6,normal,1,1,0,0,0.9299750328063965,1.0,0.9195067286491394,9.16776180267334,0.04496221989393234,0.8284863829612732,0.7795326709747314,8.116420213646418,7.503584861755371,-7.413584232330322,-1.158687710762024,-6.0,-1.158687710762024,0.272836434841156,0
8,1,1.0,-67.50447845458984,3.795994520187378,-65.62345123291016,9.473743438720703,-65.65401458740234,4.7155842781066895,-65.65401458740234,4.7155842781066895,-69.8984375,5.349315166473389,-68.67869567871094,5.167196750640869,-2.6738951206207275,0.5370063185691833,6,normal,1,1,0,0,0.9471529722213745,1.0,0.9525330662727356,9.72855281829834,0.04516637325286865,0.8247937560081482,0.8096414804458618,8.389276325781207,4.291472911834717,-4.286840915679932,-0.19933784008026123,-4.286840915679932,-0.19933784008026123,0.28337451815605164,0
9,1,1.0,-67.50447845458984,3.795994520187378,-65.62345123291016,9.473743438720703,-65.65401458740234,4.7155842781066895,-65.65401458740234,4.7155842781066895,-71.35259246826172,5.704203128814697,-69.55247497558594,5.391908645629883,-1.9548490047454834,0.4171362519264221,6,normal,1,1,0,0,0.9107601642608643,1.0,0.9468456506729126,9.273449897766113,0.05532550811767578,0.8368367552757263,0.8093940019607544,7.998531890007156,5.783697605133057,-5.781678676605225,-0.1527925729751587,-5.781678676605225,-0.1527925729751587,0.283287900686264,0
10,1,1.0,-77.41057586669922,4.6642866134643555,-65.62345123291016,9.473743438720703,-65.65401458740234,4.7155842781066895,-65.65401458740234,4.7155842781066895,-71.50732421875,5.80904483795166,-69.74095153808594,5.479067802429199,-1.2657009363174438,0.29519397020339966,6,normal,1,1,0,0,0.9220632314682007,1.0,0.9289721250534058,9.329251289367676,0.05304089933633804,0.8345437049865723,0.8055850267410278,8.073184641097297,5.954568862915039,-5.952625274658203,-0.15212547779083252,-5.952625274658203,-0.15212547779083252,0.2819547593593597,0
11,1,1.0,-77.41057586669922,4.6642866134643555,-65.62345123291016,9.473743438720703,-65.65401458740234,4.7155842781066895,-65.65401458740234,4.7155842781066895,-71.00665283203125,5.774261951446533,-69.46701049804688,5.469742774963379,-0.6754817962646484,0.18220774829387665,6,normal,1,1,0,0,0.9311644434928894,1.0,0.9253013134002686,9.447418212890625,0.05087682232260704,0.83186936378479,0.8074784278869629,8.162068497585201,5.456329822540283,-5.4532012939453125,-0.1847372055053711,-5.4532012939453125,-0.1847372055053711,0.282617449760437,0
12,1,1.0,-77.41057586669922,4.6642866134643555,-65.62345123291016,9.473743438720703,-65.65401458740234,4.7155842781066895,-65.65401458740234,4.7155842781066895,-70.14249420166016,5.651950359344482,-68.96592712402344,5.406500339508057,-0.22575022280216217,0.08873727172613144,6,normal,1,1,0,0,0.9511285424232483,1.0,0.9535426497459412,9.814454078674316,0.04243326187133789,0.8216037154197693,0.8043282628059387,8.502307701292318,4.585109710693359,-4.577450275421143,-0.2649097442626953,-4.577450275421143,-0.2649097442626953,0.2815148919820785,0
13,1,1.0,-87.32689666748047,5.565974712371826,-65.62345123291016,9.473743438720703,-65.65401458740234,4.7155842781066895,-65.65401458740234,4.7155842781066895,-69.19168090820312,5.495237827301025,-68.2672119140625,5.291496753692627,-0.07555224001407623,0.08733533322811127,6,normal,1,0,0,0,0.9540868401527405,1.0,0.9545637369155884,9.81977367401123,0.04297308251261711,0.8220906257629395,0.8103176951408386,8.463004326430886,3.6225602626800537,-3.577662229537964,-0.5685744881629944,-3.577662229537964,-0.5685744881629944,0.2836111932992935,0
14,1,1.0,-87.32689666748047,5.565974712371826,-65.62345123291016,9.473743438720703,-65.62345123291016,9.473743438720703,-65.62345123291016,9.473743438720703,-68.34276580810547,5.37883186340332,-67.8952865600586,6.126426696777344,-0.06669557094573975,0.3257409334182739,6,normal,1,0,0,0,0.9750754237174988,1.0,0.9087270498275757,10.00329303741455,0.046549707651138306,0.8242225646972656,0.7369165420532227,9.203368106366277,4.915584564208984,1.3178067207336426,-4.735647678375244,1.3178067207336426,-4.0,0.2579207897186279,0
