sequence_index,frame_id,timestamp_ns,dt_s,image_path,active_waypoint_from,active_waypoint_to,gt_x,gt_y,visual_x,visual_y,final_x,final_y,progress_s_visual_m,progress_s_final_m,cross_visual_m,cross_final_m,rnn_speed_fraction,rnn_moving_speed_mps,rnn_speed_mps,predicted_step_m,stop_probability,rnn_cross_speed_mps,rnn_delta_cross_m,speed_limit_mps,gt_speed_mps_eval_only,selected_patch_x,selected_patch_y,selected_patch_progress_s_m,candidate_probability_max,candidate_probability_margin,candidate_route_distance_m,route_heading_deg_enu,heading_residual_deg,estimated_heading_deg_enu,search_heading_deg_enu,measurement_variance_s,measurement_variance_cross,forward_candidate_count,error_visual_m,error_final_m
0,0,1782720770254553016,0.33365529775619507,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,0,1,-18.780746459960938,-2.1595981121063232,-21.57284164428711,-1.5747207403182983,-19.260425567626953,-1.9665727615356445,2.8383874893188477,0.49744935379814853,-0.28536179661750793,-0.14104675397253114,0.48850011825561523,9.249150276184082,8.506945610046387,2.8383874893188477,0.08024568855762482,-0.8552592992782593,-0.28536179661750793,18.93377332531162,0.0,-27.772829055786133,9.233684539794922,10.150054931640625,0.10037162154912949,0.01024552434682846,10.375009536743164,173.90999868913076,0.31415929999064374,174.2241579891214,173.90999868913076,20.0,2.1998190879821777,18,2.852696418762207,0.5170598030090332
1,1,1782720770588513379,0.3339602053165436,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,0,1,-25.919267654418945,-1.4582853317260742,-22.05773162841797,-1.3806214332580566,-19.69649314880371,-1.8165522813796997,3.3411319255828857,0.9469714875824993,-0.42692357301712036,-0.2439578250601487,0.4888449013233185,9.255678176879883,8.515033721923828,2.8436825275421143,0.08002053201198578,-0.8560205698013306,-0.2858768105506897,18.93377332531162,21.478272455133904,-27.772829055786133,9.233684539794922,10.150054931640625,0.10029589384794235,0.010556727647781372,10.375009536743164,173.90999868913076,0.3147604900397371,174.2247591791705,174.2241579891214,20.0,2.1998190879821777,18,3.8623170852661133,6.233079433441162
2,2,1782720770922635383,0.334121972322464,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,0,1,-28.881437301635742,-1.16508948802948,-22.495153427124023,-1.2303149700164795,-20.099639892578125,-1.6873035430908203,3.7920315265655518,1.3615558658714284,-0.5299753546714783,-0.3297070035875402,0.48884502053260803,9.255681037902832,8.515034675598145,2.845060110092163,0.0800207331776619,-0.856027364730835,-0.2860175371170044,18.93377332531162,8.908856648125507,-27.772829055786133,9.233684539794922,10.150054931640625,0.0997723937034607,0.011006176471710205,10.375009536743164,173.90999868913076,0.31479792267803997,174.2247966118088,174.22475917917052,20.0,2.1998190879821777,18,6.3866167068481445,8.797310829162598
3,3,1782720771256659623,0.33402445912361145,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,0,1,-31.84273910522461,-0.8719794154167175,-22.897483825683594,-1.1012386083602905,-20.477828979492188,-1.5696009397506714,4.20578670501709,1.7500970132050124,-0.6156397461891174,-0.4066232621845986,0.4888451397418976,9.255682945251465,8.51503849029541,2.844231128692627,0.08002056926488876,-0.856023371219635,-0.2859327495098114,18.93377332531162,8.908845743322114,-27.772829055786133,9.233684539794922,10.150054931640625,0.09953037649393082,0.011512309312820435,10.375009536743164,173.90999868913076,0.314773963655092,174.22477265278584,174.2247966118088,20.0,2.1998190879821777,18,8.948192596435547,11.386301040649414
4,4,1782720771590693022,0.33403339982032776,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,0,1,-34.80412292480469,-0.5788613557815552,-23.275745391845703,-0.9835205078125,-20.837169647216797,-1.4587492942810059,4.594403266906738,2.1191708834501166,-0.6925634145736694,-0.47872660712455484,0.48884502053260803,9.255681037902832,8.515035629272461,2.844306230545044,0.08002063632011414,-0.8560225367546082,-0.28594011068344116,18.93377332531162,8.908854250077688,-27.772829055786133,9.233684539794922,10.150054931640625,0.0994613841176033,0.011708013713359833,10.375009536743164,173.90999868913076,0.3147658261250262,174.2247645152558,174.22477265278587,20.0,2.1998190879821777,18,11.535476684570312,13.994641304016113
5,5,1782720771924952558,0.3342594504356384,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,0,1,-38.077056884765625,-0.2521708011627197,-23.63665771484375,-0.8723704814910889,-21.182239532470703,-1.3521311283111572,4.965070724487305,2.4736040358543634,-0.764796793460846,-0.5481343692198708,0.4888012707233429,9.254852294921875,8.514044761657715,2.845899820327759,0.08004527539014816,-0.8558327555656433,-0.28607019782066345,18.93377332531162,9.840254795742396,-27.772829055786133,9.233684539794922,10.150054931640625,0.09598700702190399,0.011249646544456482,10.375009536743164,173.90999868913076,0.31470520819614234,174.2247038973269,174.2247645152558,20.0,2.1998190879821777,18,14.45371150970459,16.930585861206055
6,6,1782720772258533342,0.33358079195022583,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,0,1,-41.34334182739258,0.07385636121034622,-23.976346969604492,-0.7668498754501343,-21.515466690063477,-1.248486042022705,5.314037322998047,2.815946591024194,-0.8336840867996216,-0.6158422927454614,0.4888423979282379,9.255631446838379,8.514979362487793,2.8404335975646973,0.08002176135778427,-0.8560137152671814,-0.28554973006248474,18.93377332531162,9.840242849308959,-27.772829055786133,9.233684539794922,10.150054931640625,0.09688006341457367,0.011637076735496521,10.375009536743164,173.90999868913076,0.31473562388229004,174.22473431301304,174.22470389732692,20.0,2.1998190879821777,18,17.387331008911133,19.871919631958008
7,7,1782720772593000843,0.3344675898551941,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,0,1,-44.61831283569336,0.40075016021728516,-24.317005157470703,-0.6616472601890564,-21.840848922729492,-1.1464240550994873,5.663934707641602,3.1503196447230635,-0.9021522402763367,-0.6828083596074905,0.48884284496307373,9.25563907623291,8.51499080657959,2.8479883670806885,0.08002133667469025,-0.8560170531272888,-0.28630995750427246,18.93377332531162,9.840251557756616,-27.772829055786133,9.233684539794922,10.150054931640625,0.09560418874025345,0.012005448341369629,10.375009536743164,173.90999868913076,0.31475822220348926,174.22475691133425,174.22473431301307,20.0,2.1998190879821777,18,20.32908821105957,22.8299503326416
8,8,1782720772926756734,0.33375564217567444,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,0,1,-47.93851089477539,0.7270652055740356,-24.63643455505371,-0.5608298182487488,-22.15871238708496,-1.0458509922027588,5.992257118225098,3.4770606637193975,-0.9685123562812805,-0.7490912993991586,0.4888443350791931,9.255667686462402,8.515024185180664,2.841937303543091,0.08002056926488876,-0.8560275435447693,-0.28570401668548584,18.93377332531162,9.995920878872818,-27.772829055786133,9.233684539794922,10.150054931640625,0.09580526500940323,0.012008458375930786,10.375009536743164,173.90999868913076,0.3147875173117263,174.22478620644247,174.22475691133425,20.0,2.1998190879821777,18,23.3376407623291,25.84069061279297
9,9,1782720773260500830,0.3337441384792328,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,0,1,-51.25859451293945,1.0533686876296997,-24.954191207885742,-0.46028220653533936,-22.4711971282959,-0.9461770057678223,6.318887710571289,3.7983559258177824,-1.0347814559936523,-0.8150512471176188,0.48884281516075134,9.25563907623291,8.51498794555664,2.841827392578125,0.08002161979675293,-0.8560155034065247,-0.28569015860557556,18.93377332531162,9.99592038108352,-27.772829055786133,9.233684539794922,10.150054931640625,0.09569569677114487,0.011819951236248016,10.375009536743164,173.90999868913076,0.31474317444297406,174.22474186357374,174.2247862064425,20.0,2.1998190879821777,18,26.347917556762695,28.85675621032715
