sequence_index,frame_id,image_path,gt_x,gt_y,predicted_current_x,predicted_current_y,candidate_capture,candidate_nearest_gt_m,hardms_x,hardms_y,hardms_support,raw_top1_x,raw_top1_y,model_next_step_dx,model_next_step_dy,model_next_step_m,gt_next_step_dx,gt_next_step_dy,next_step_error_m,model_velocity_x,model_velocity_y,model_acceleration_x,model_acceleration_y,stop_probability,route_gate,correction_gate,measurement_x,measurement_y,measurement_variance_x,measurement_variance_y,kf_predict_x,kf_predict_y,final_x,final_y,final_vx,final_vy,state_norm,error_predicted_current_m,error_hardms_m,error_measurement_m,error_final_m,state_00,state_01,state_02,state_03,state_04,state_05,state_06,state_07,state_08,state_09,state_10,state_11,state_12,state_13,state_14,state_15
0,0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,1.0,1.1097068786621094,-32.53472900390625,4.505537986755371,0.6790319681167603,-27.772829055786133,9.233684539794922,-0.2719840407371521,-0.04221230745315552,0.2752402424812317,-9.955018043518066,0.9474241733551025,9.733474731445312,-0.5371885299682617,-0.069976806640625,-0.054712872952222824,-0.03528272360563278,0.51822429895401,0.4867068827152252,0.9954102635383606,-37.68677520751953,7.526581287384033,36.0,36.0,-37.63298034667969,0.8348962068557739,-37.64753275584305,2.6451088882144824,-0.009810612919120441,1.2203680997923876,3.0692291259765625,0.0,6.282179355621338,6.691901683807373,1.8102711742621167,-0.05371885374188423,-0.0069976807571947575,-0.009118812158703804,-0.005880454089492559,-0.8626338839530945,0.505828857421875,0.9954102635383606,0.51822429895401,0.4867068827152252,1.0,1.0,-0.9996316432952881,0.9996071457862854,0.9946969747543335,0.999240517616272,0.9666706919670105
1,1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,-47.69226837158203,1.7922438383102417,-37.91824152314365,2.614881630081251,1.0,2.1660690307617188,-32.50415802001953,9.263697624206543,0.6625165939331055,-27.772829055786133,9.233684539794922,-0.268522709608078,-0.01945454813539982,0.2692265510559082,-3.219829559326172,0.3452185392379761,2.9737515449523926,-0.5308130979537964,-0.026550574228167534,-0.058907490223646164,-0.02808183804154396,0.5207235217094421,0.3462962806224823,0.999929666519165,-37.34016418457031,12.814470291137695,36.0,36.0,-37.65734336876217,3.8654769880068702,-37.51013734290393,8.018794119906197,0.05876417091922448,3.155158628044041,3.0398669242858887,9.808584697623006,16.926349639892578,15.121359825134277,11.935062659844398,-0.05308131128549576,-0.002655057469382882,-0.00981791503727436,-0.004680306650698185,-0.8060575723648071,0.5918371677398682,0.999929666519165,0.5207235217094421,0.3462962806224823,1.0,1.0,-0.9938191771507263,0.9918089509010315,0.9880521297454834,0.9902853965759277,0.9584576487541199
2,2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,-50.9120979309082,2.1374623775482178,-37.778047607771676,8.005095455296715,1.0,2.342602252960205,-32.50415802001953,9.263697624206543,0.6309981346130371,-27.772829055786133,9.233684539794922,-0.26717904210090637,-0.01906215026974678,0.2678581774234772,-3.229381561279297,0.34624290466308594,2.984642505645752,-0.5281141400337219,-0.02581110969185829,-0.058529097586870193,-0.027911240234971046,0.5206508040428162,0.3473806083202362,0.9999306201934814,-37.34172821044922,12.812347412109375,36.0,36.0,-37.451373171984706,11.173952747950239,-37.39503799115297,12.015753943249953,0.07831377792304961,3.447283057228218,3.038762092590332,14.385144970620596,19.739187240600586,17.265806198120117,16.741910096280826,-0.05281141400337219,-0.0025811109226197004,-0.009754849597811699,-0.004651873372495174,-0.8063176870346069,0.5914826989173889,0.9999306201934814,0.5206508040428162,0.3473806083202362,1.0,1.0,-0.9930766224861145,0.9902585744857788,0.9882315397262573,0.9883090257644653,0.9588434100151062
3,3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,-54.1414794921875,2.4837052822113037,-37.661609486754394,12.002401336314392,1.0,3.431870222091675,-32.50415802001953,9.263697624206543,0.6169041991233826,-27.772829055786133,9.233684539794922,-0.26693564653396606,-0.018989045172929764,0.26761022210121155,-3.5181655883789062,0.37720561027526855,3.2752811908721924,-0.5275720357894897,-0.02565513364970684,-0.05852189660072327,-0.027912771329283714,0.5206180810928345,0.34697696566581726,0.9999305009841919,-37.3420524597168,12.811903953552246,36.0,36.0,-37.31672421322992,15.46303700047817,-37.32927276518215,14.14956744036253,0.07473424247135453,3.072609479507476,3.0386648178100586,19.031334424216592,22.674699783325195,19.720355987548828,20.463201971454733,-0.052757203578948975,-0.002565513364970684,-0.009753650054335594,-0.004652128554880619,-0.806371808052063,0.5914088487625122,0.9999305009841919,0.5206180810928345,0.34697696566581726,1.0,1.0,-0.9930874705314636,0.9902533888816833,0.9882318377494812,0.9883033037185669,0.9587019681930542
4,4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,-57.659645080566406,2.8609108924865723,-37.58570759260019,14.146945548868525,1.0,6.445864677429199,-32.50415802001953,9.263697624206543,0.6155432462692261,-27.772829055786133,9.233684539794922,-0.18251383304595947,0.15395686030387878,0.2387760728597641,-3.1941299438476562,0.30338549613952637,3.0153210163116455,-0.34282147884368896,0.28115469217300415,-0.034275103360414505,0.04496695101261139,0.4929594397544861,0.17104986310005188,0.9997784495353699,-37.5052490234375,12.576272010803223,36.0,36.0,-37.25453852271079,17.222176919870005,-37.370941450146496,15.06511955515749,0.04515916148012178,2.524554996089596,3.023343801498413,23.029058698432074,25.95754623413086,22.373821258544922,23.676448299629442,-0.034282147884368896,0.028115469962358475,-0.005712517537176609,0.007494491990655661,-0.8336998224258423,0.5522181391716003,0.9997784495353699,0.4929594397544861,0.17104986310005188,1.0,1.0,-0.9989640712738037,0.9990385174751282,0.9883614182472229,0.9994218349456787,0.9460546970367432
5,5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,-60.85377502441406,3.1642963886260986,-37.55445821600796,15.217513195985212,0.0,9.506715774536133,-32.50415802001953,9.263697624206543,0.6171227693557739,-27.772829055786133,9.233684539794922,-0.18378815054893494,0.165429949760437,0.2472754567861557,-3.1709976196289062,0.30118846893310547,2.99029278755188,-0.347271591424942,0.3015947937965393,-0.02843737229704857,0.0475739948451519,0.49158206582069397,0.1629299521446228,0.9997524619102478,-37.41069793701172,12.71450424194336,36.0,36.0,-37.325782288666375,17.589674551247086,-37.362979463960315,15.4541133429586,0.03621034300723763,2.010786156394391,3.024049758911133,26.23238836140696,28.998336791992188,25.313718795776367,26.51145180547516,-0.03472715988755226,0.0301594790071249,-0.004739562049508095,0.00792899914085865,-0.8179588317871094,0.5752768516540527,0.9997524619102478,0.49158206582069397,0.1629299521446228,1.0,1.0,-0.999146580696106,0.9993340969085693,0.9844866394996643,0.9995665550231934,0.9537621736526489
6,6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,-64.02477264404297,3.465484857559204,-37.54799910270683,15.61762380701804,0.0,12.618176460266113,-32.50415802001953,9.263697624206543,0.6178175806999207,-27.772829055786133,9.233684539794922,-0.18392042815685272,0.165487602353096,0.24741233885288239,-3.479705810546875,0.33050966262817383,3.2999141216278076,-0.3477346897125244,0.301616370677948,-0.028088688850402832,0.047809045761823654,0.4916222095489502,0.16301414370536804,0.9997524619102478,-37.408287048339844,12.717926025390625,36.0,36.0,-37.326769120953074,17.464899499352992,-37.361030618241045,15.46977494187292,0.02808900252760997,1.5378621129886194,3.0242631435394287,29.132353461506536,32.049468994140625,28.178804397583008,29.241376835690694,-0.03477346897125244,0.03016163781285286,-0.0046814484521746635,0.007968174293637276,-0.8175573348999023,0.575847327709198,0.9997524619102478,0.4916222095489502,0.16301414370536804,1.0,1.0,-0.9991592168807983,0.9993483424186707,0.9846332669258118,0.9995698928833008,0.9542185068130493
7,7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,-67.50447845458984,3.795994520187378,-37.54618247030356,15.633343174015407,0.0,16.065874099731445,-32.50415802001953,9.263697624206543,0.6151889562606812,-27.772829055786133,9.233684539794922,-0.18398070335388184,0.16556930541992188,0.24751180410385132,-3.2008743286132812,0.2805640697479248,3.0190844535827637,-0.34784406423568726,0.30173277854919434,-0.02810259349644184,0.047893669456243515,0.4916190505027771,0.16299624741077423,0.999751627445221,-37.40846633911133,12.717663764953613,36.0,36.0,-37.33294161571344,17.00763705486154,-37.363916505797015,15.248193985916824,0.020709605359387685,1.118695841031376,3.0242505073547363,32.21214555776109,35.42482376098633,31.39054298400879,32.242927087841636,-0.034784406423568726,0.030173277482390404,-0.004683765582740307,0.007982278242707253,-0.8175877928733826,0.5758041143417358,0.999751627445221,0.4916190505027771,0.16299624741077423,1.0,1.0,-0.9991610050201416,0.9993497133255005,0.9846504330635071,0.9995712637901306,0.9541608095169067
8,8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,-70.70535278320312,4.076558589935303,-37.549129619330074,15.411842402201088,0.0,19.253145217895508,-32.50415802001953,9.263697624206543,0.6112006902694702,-27.772829055786133,9.233684539794922,-0.1840803176164627,0.1657835841178894,0.24772921204566956,-3.1961441040039062,0.2801494598388672,3.0142340660095215,-0.34801191091537476,0.30204880237579346,-0.02813836745917797,0.04808615893125534,0.49160465598106384,0.16294468939304352,0.9997498393058777,-37.40867233276367,12.717352867126465,36.0,36.0,-37.34320690043763,16.3668898269482,-37.3697457607673,14.887413587299669,0.014317571094046539,0.7623556402422447,3.0242011547088623,35.04031668802619,38.551753997802734,34.39959716796875,35.04478964594181,-0.034801192581653595,0.030204880982637405,-0.004689727909862995,0.008014360442757607,-0.8176235556602478,0.5757532119750977,0.9997498393058777,0.49160465598106384,0.16294468939304352,1.0,1.0,-0.9991651177406311,0.9993534088134766,0.9846762418746948,0.999574601650238,0.9539826512336731
9,9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,-73.90149688720703,4.35670804977417,-37.55506202488971,15.051270826544398,0.0,22.443069458007812,-32.50415802001953,9.263697624206543,0.6114300489425659,-27.772829055786133,9.233684539794922,-0.1840343475341797,0.16571228206157684,0.24764733016490936,-3.5090789794921875,0.30757856369018555,3.3280696868896484,-0.3479459881782532,0.30194756388664246,-0.02809564396739006,0.04801386594772339,0.4916091561317444,0.16294702887535095,0.9997503161430359,-37.408451080322266,12.717670440673828,36.0,36.0,-37.355428189673255,15.649769227541913,-37.37684321190707,14.465545584810265,0.009109465840074098,0.47435400717136345,3.0241992473602295,37.88716141632882,41.6871452331543,37.43859100341797,37.89774297250903,-0.03479459881782532,0.030194757506251335,-0.0046826074831187725,0.008002310991287231,-0.817586362361908,0.5758060216903687,0.9997503161430359,0.4916091561317444,0.16294702887535095,1.0,1.0,-0.9991625547409058,0.9993509650230408,0.9846255779266357,0.9995728135108948,0.9540330171585083
