sequence_index,frame_id,image_path,active_waypoint_from,active_waypoint_to,waypoint_reached_this_frame,waypoint_switched_after_frame,terminal_locked,gt_x,gt_y,search_center_x,search_center_y,raw_top1_x,raw_top1_y,raw_hardms_x,raw_hardms_y,refined_hardms_x,refined_hardms_y,proposal_x,proposal_y,visual_measurement_x,visual_measurement_y,polynomial_x,polynomial_y,translation_probability,stationary_probability,rotation_probability,predicted_phase,effective_translation_gate,ecc_center_shift_norm,ecc_rotation_deg,ecc_correlation,observed_delta_parallel,observed_delta_cross,observed_acc_parallel,observed_acc_cross,inertia_strength,polynomial_sigma_m,measurement_var_x,measurement_var_y,refined_hardms_support,final_x,final_y,error_visual_m,error_final_m
0,0,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,0,1,0,0,0,-18.780746459960938,-2.1595981121063232,-18.780746459960938,-2.1595981121063232,-8.908679962158203,-0.4026999771595001,-13.640005111694336,-0.3726810812950134,-18.37133026123047,-0.3426637351512909,-19.92536163330078,-1.9184093475341797,-19.576627731323242,-1.9918932914733887,-18.780746459960938,-2.1595981121063232,0.6953257322311401,0.25760263204574585,0.047071609646081924,1,0.6953257322311401,0.0,0.0,0.0,0.8091815710067749,-0.08232289552688599,0.8091815710067749,-0.08232289552688599,0.8371713161468506,2.895442247390747,7.0,7.0,0.8143512606620789,-19.234838228284215,-2.063913766591827,0.8133584260940552,0.46406338794985563
1,1,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,0,1,0,0,0,-25.919267654418945,-1.4582853317260742,-19.576627731323242,-1.9918932914733887,-8.908679962158203,-0.4026999771595001,-13.640005111694336,-0.3726810812950134,-23.1026554107666,-0.31264790892601013,-21.574779510498047,-1.614227294921875,-21.164377212524414,-1.6917963027954102,-20.770448684692383,-1.7403360605239868,0.7946094870567322,0.18988756835460663,0.015502970665693283,1,0.7946094870567322,0.035833310424740555,0.14368653335387177,0.9848676323890686,1.610626459121704,-0.1299581676721573,0.8014448881149292,-0.0476352721452713,0.9201017618179321,2.343569755554199,7.0,7.0,0.8928586840629578,-19.968438279927277,-1.9224367646302254,4.760621070861816,5.968903316102539
2,2,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,0,1,0,0,0,-28.881437301635742,-1.16508948802948,-21.164377212524414,-1.6917963027954102,-27.772829055786133,9.233684539794922,-27.803403854370117,4.475525379180908,-23.1026554107666,-0.31264790892601013,-23.855022430419922,-1.1913034915924072,-23.34049415588379,-1.2870121002197266,-23.148061752319336,-1.3255032300949097,0.8087711334228516,0.17960096895694733,0.011627864092588425,1,0.8087711334228516,0.057194216768111976,0.0006783356684126342,0.9903323650360107,2.206779718399048,-0.17163436114788055,0.5961532592773438,-0.04167619347572327,0.934662401676178,2.265064001083374,7.0,7.0,0.9065240025520325,-20.97089923377242,-1.733534670888676,5.5422844886779785,7.930935786464961
3,3,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,0,1,0,0,0,-31.84273910522461,-0.8719794154167175,-23.34049415588379,-1.2870121002197266,-27.772829055786133,9.233684539794922,-27.803403854370117,4.475525379180908,-27.833980560302734,-0.28263363242149353,-26.615863800048828,-0.6941741704940796,-26.023784637451172,-0.8013399243354797,-25.810794830322266,-0.8298842906951904,0.8192326426506042,0.17035380005836487,0.010413601994514465,1,0.8192326426506042,0.047223833790151944,0.28613118054475867,0.9877519607543945,2.719672441482544,-0.19825950264930725,0.5128927230834961,-0.026625141501426697,0.9388608336448669,2.2446696758270264,7.0,7.0,0.9100213050842285,-22.25337402253707,-1.4969339635377965,5.819383144378662,9.609708157706155
4,4,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,0,1,0,0,0,-34.80412292480469,-0.5788613557815552,-26.023784637451172,-0.8013399243354797,-27.772829055786133,9.233684539794922,-27.803403854370117,4.475525379180908,-27.833980560302734,-0.28263363242149353,-29.642742156982422,-0.1749730408191681,-29.000144958496094,-0.2861935496330261,-28.960662841796875,-0.2752237915992737,0.8224355578422546,0.16753947734832764,0.01002496387809515,1,0.8224355578422546,0.051369518870886685,0.041616049452342374,0.9905094504356384,3.0142152309417725,-0.19647541642189026,0.2945427894592285,0.0017840862274169922,0.9402722716331482,2.237966299057007,7.0,7.0,0.9089266061782837,-23.796983167254606,-1.2199258966384803,5.811352252960205,11.025792007279286
5,5,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,0,1,0,0,0,-38.077056884765625,-0.2521708011627197,-29.000144958496094,-0.2861935496330261,-27.772829055786133,9.233684539794922,-27.803403854370117,4.475525379180908,-32.565303802490234,-0.2526208460330963,-32.81787109375,0.312738835811615,-32.157752990722656,0.20917841792106628,-32.12303924560547,0.24368983507156372,0.827091634273529,0.16317971050739288,0.009728680364787579,1,0.827091634273529,0.0583112938726901,0.05904874339556119,0.9907869696617126,3.1923422813415527,-0.15758395195007324,0.17812705039978027,0.03889146447181702,0.9410743713378906,2.234520673751831,7.0,7.0,0.9151934385299683,-25.58300869834363,-0.9146409950940807,5.937255382537842,12.511598892327159
6,6,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,0,1,0,0,0,-41.34334182739258,0.07385636121034622,-32.157752990722656,0.20917841792106628,-27.772829055786133,9.233684539794922,-27.803403854370117,4.475525379180908,-37.296630859375,-0.22260963916778564,-36.172630310058594,0.7422351241111755,-35.48893356323242,0.6514604091644287,-35.40598678588867,0.6946631669998169,0.8297091126441956,0.16070117056369781,0.009589715860784054,1,0.8297091126441956,0.06059928753794624,0.19020671032064657,0.9933618903160095,3.3593027591705322,-0.08637920022010803,0.1669604778289795,0.07120475172996521,0.9414320588111877,2.232790231704712,7.0,7.0,0.9103800058364868,-27.605044135587764,-0.5949623602446675,5.882833003997803,13.754568039412149
7,7,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,0,1,0,0,0,-44.61831283569336,0.40075016021728516,-35.48893356323242,0.6514604091644287,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,-37.296630859375,-0.22260963916778564,-39.5727424621582,1.1109769344329834,-38.88100051879883,1.0331408977508545,-38.906898498535156,1.067197322845459,0.8306133151054382,0.15982729196548462,0.009559434838593006,1,0.8306133151054382,0.07693769173358513,0.1913570032631619,0.9879150390625,3.4134163856506348,-0.019660234451293945,0.05411362648010254,0.06671896576881409,0.9415013790130615,2.2322871685028076,7.0,7.0,0.9037468433380127,-29.83839559982323,-0.2724950970168038,5.772059440612793,14.795242906946784
8,8,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,0,1,0,0,0,-47.93851089477539,0.7270652055740356,-38.88100051879883,1.0331408977508545,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,-42.0279541015625,-0.19259993731975555,-42.960655212402344,1.4339792728424072,-42.28866195678711,1.367953896522522,-42.30350875854492,1.3845206499099731,0.8352817893028259,0.15535946190357208,0.009358799085021019,1,0.8352817893028259,0.06557029900784724,0.16458477347522632,0.9852550029754639,3.423950672149658,0.02859717607498169,0.010534286499023438,0.048257410526275635,0.9419110417366028,2.2310738563537598,7.0,7.0,0.9073585867881775,-32.255570865015486,0.045992284482057555,5.686082363128662,15.697721755111166
9,9,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,0,1,0,0,0,-51.25859451293945,1.0533686876296997,-42.28866195678711,1.367953896522522,-32.53472900390625,4.505537986755371,-37.266056060791016,4.535549163818359,-46.75927734375,-0.16259177029132843,-46.46086883544922,1.7444288730621338,-45.76979064941406,1.682070016860962,-45.70412063598633,1.679333209991455,0.8343610763549805,0.15631474554538727,0.009324193932116032,1,0.8343610763549805,0.03900276183086582,0.18664202598828358,0.9813423752784729,3.494807481765747,0.056971460580825806,0.07085680961608887,0.028374284505844116,0.942221462726593,2.22991943359375,7.0,7.0,0.9092707633972168,-34.84482677486937,0.3594564729535891,5.524693012237549,16.428429186047797
