protocol,controlled_gt_prior,reference_protocol,gt_prior_jitter_limit_m,prior_center_x,prior_center_y,prior_jitter_x,prior_jitter_y,progress_capped_to_gt,direct_kalman_ms_enabled,ms_grid_size,kalman_x,kalman_y,frame_reference_x,frame_reference_y,ms_lattice_index,ms_lattice_x,ms_lattice_y,ms_x,ms_y,ms_support,ms_mode_count,ms_shift_from_kalman_m,ms_latency_ms,frame_id,image_path,gt_x,gt_y,gt_progress_s,gt_cross_e,gt_waypoint_leg,gt_step_parallel,gt_step_norm_m,controlled_gt_motion_envelope,gt_velocity_parallel,gt_heading_deg,gt_turn_rate_deg_per_frame,predicted_progress_s,predicted_cross_e,predicted_x,predicted_y,motion_prediction_error_m,kalman_progress_std_m,acquisition_hypothesis_count,acquisition_radius_m,acquisition_selected_index,acquisition_target_index,acquisition_confidence,acquisition_margin,selected_hypothesis_center_s,selected_hypothesis_center_e,selected_candidate_capture,bank_candidate_capture,search_grid_size,search_candidate_count,forward_only_search,search_heading_deg,raw_top1_x,raw_top1_y,softms_x,softms_y,softms_mode_count,visual_anchor_x,visual_anchor_y,visual_anchor_s,visual_anchor_e,visual_entropy,visual_margin,visual_var_s,visual_var_e,candidate_capture,measurement_s,measurement_e,visual_measurement_error_m,measurement_var_s,measurement_var_e,local_visual_confidence,kalman_raw_measurement_s,kalman_raw_measurement_e,kalman_used_measurement_s,kalman_used_measurement_e,kalman_measurement_clip_s,kalman_measurement_clip_e,kalman_posterior_projection_m,kalman_step_limited,kalman_step_limit_m,kalman_motion_step_s,kalman_motion_step_e,v_parallel,v_cross,a_parallel,a_cross,heading_residual_deg,turn_rate_deg_per_frame,estimated_heading_deg,polynomial_heading_deg,heading_error_deg,poly_next_step_parallel,poly_next_step_cross,kalman_nis,kalman_r_scale,final_progress_s,final_cross_e,waypoint_leg_before_update,waypoint_leg,target_waypoint,route_remaining_m,route_leg_progress,progress_error_m,speed_error_m_per_frame,final_x,final_y,final_step_m,gt_step_for_jump_m,excess_step_over_gt_m,abnormal_jump,error_final_m,end_to_end_latency_ms
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,25.337297310327173,-704.1589177308244,-3.505890021826147,-3.400800055043172,0,1,6,22.83445003776199,-696.8106192728455,27.716994093986415,-699.2940664661643,2213,20.99643325805664,-698.8867797851562,25.519245147705078,-697.910888671875,0.9394431114196777,1,2.901502633604692,12.592237908393145,0,/yh/study/cvpr_data/Bearing_UAV_90K/citya/uav_254k_34bc_b15_s100/blk_2_1_s_071_v3d.jpg,28.84318733215332,-700.7581176757812,3.4323463980187423,-1.8470942461265396,0,0.0,0.0,1,0.0,37.568592028827496,0.0,0.0,0.0,24.996433999999994,-701.386805,3.8977889822392937,3.216160701903344,1,0.0,0,0,0.6355912582910433,1.0,0.0,-2.4050710201263428,1,1,6,18,1,37.568592028827496,11.996434211730957,-703.3867797851562,15.549470901489258,-702.3980102539062,4,15.549470901489258,-702.3980102539062,0.0,4.958409309387207,0.6492602825164795,0.12936794757843018,4.0,4.0,1,1.0782798528671265,4.956535339355469,7.199375308695051,5.093207836151123,4.9285688400268555,0.6355912582910433,1.0782798528671265,4.956535339355469,1.0782798528671265,2.3987255761802215,0.0,2.557809763175247,0.0,0,15.072422395078904,0.0,0.0,5.551498889923096,-0.000580495223402977,-0.02027178183197975,-0.002239533234387636,-0.04271020674661449,0.0,37.52588182208088,37.52588182208088,0.04271020674661449,5.541359901428223,-0.005830979906022549,0.17608176867237213,1.0,2.5336962465133097,2.4363310831442764,0,0,1,79.47240108777031,0.030896437324472798,0.8986501515054326,5.551498889923096,25.519245147705078,-697.910888671875,0.0,0.0,0.0,0,4.376677352311857,241.12406373023987
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,31.798619047624065,-698.9099342778715,-3.4008591017899956,-3.5381691411527214,0,1,6,24.985850951201193,-696.2500191972796,34.313421522221326,-694.2198915213681,2433,25.49643325805664,-694.3867797851562,29.78343391418457,-694.6119384765625,0.9526705741882324,1,5.069527663825631,8.831263054162264,1,/yh/study/cvpr_data/Bearing_UAV_90K/citya/uav_254k_34bc_b15_s100/blk_2_1_s_052_v3d.jpg,35.19947814941406,-695.3717651367188,11.75461208630136,-1.4532409202651337,0,8.331580079952317,8.331580079952317,1,8.331580079952317,40.278107658057344,2.7095156292298515,9.491563002519753,4.941297786474358,29.506912096918654,-691.6831057372118,6.783178932299671,3.514529104756879,1,0.0,0,0,0.40098619628313936,1.0,6.901749610900879,-2.184138298034668,1,1,6,18,1,37.553643454465146,16.49643325805664,-694.3867797851562,23.61536979675293,-697.322265625,1,23.61536979675293,-697.322265625,1.3835288286209106,4.063701152801514,0.5660566687583923,0.007853180170059204,4.0,4.0,1,2.962859630584717,4.054102420806885,10.374282718291875,5.135201930999756,4.899382591247559,0.40098619628313936,2.962859630584717,4.054102420806885,2.962859630584717,4.054102420806885,0.0,0.0,0.0,0,12.0851035587907,8.415053673556132,-0.0040816860273480415,5.517038345336914,-0.0015296495985239744,-0.025160599499940872,-0.004063631873577833,-0.06278039745757961,0.0,37.505811631369916,37.505811631369916,2.7722960266874304,5.504450798034668,-0.009592832066118717,0.8712101168175396,1.0,7.924999990484535,2.451236369593351,0,0,1,74.08109734379909,0.09663915547864262,3.8296120958168256,2.8145417346154034,29.78343391418457,-694.6119384765625,5.391324348184059,8.331580079952317,0.0,0,5.469083260606554,260.02361997962
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,33.07208497541028,-696.550623305943,-3.2904295204393312,-3.672266372349181,0,1,6,26.03002320291936,-696.7657146217517,36.249095161454996,-692.7309117988807,2214,25.49643325805664,-698.8867797851562,31.327905654907227,-693.9036865234375,0.9203569889068604,1,6.021524998754146,11.309228837490082,2,/yh/study/cvpr_data/Bearing_UAV_90K/citya/uav_254k_34bc_b15_s100/blk_1_1_s_025_v3d.jpg,36.36251449584961,-692.8783569335938,14.196720407322951,-0.18602153951913047,0,2.7513156871833493,2.7513156871833493,1,2.7513156871833493,64.99356393434955,12.000000000000002,6.562706254787495,4.073046675754617,27.71481202334071,-694.1570578722146,8.741729470960909,3.2132012363289273,1,0.0,0,0,0.6437792675531283,1.0,9.349626541137695,-1.090537667274475,1,1,6,18,1,37.53690231896648,25.49643325805664,-694.3867797851562,24.581384658813477,-697.8668212890625,1,24.581384658813477,-697.8668212890625,1.817193865776062,3.043083667755127,0.5909743309020996,0.11045229434967041,4.0,4.0,1,3.6352949142456055,3.0320608615875244,11.040822559308529,5.155856132507324,4.885500431060791,0.6437792675531283,3.6352949142456055,3.0320608615875244,3.6352949142456055,3.0320608615875244,0.0,0.0,0.0,0,11.164385555599253,3.4391410530447373,-0.0049455771087247215,5.476086139678955,-0.0033864397555589676,-0.033743347972631454,-0.006243696436285973,-0.09172815322269526,0.0,37.4768638756048,37.4768638756048,27.51670005874476,5.459197044372559,-0.015248251147568226,0.18089510422862232,1.0,9.581014179888577,2.0709328178235507,0,0,1,72.42508315439505,0.11683294890663111,4.615706227434375,2.724770452495606,31.327905654907227,-693.9036865234375,1.699121475055933,2.7513156871833493,0.0,0,5.137955522297206,223.8447959534824
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,38.09235122076236,-694.1897152263803,-3.1747004760149813,-3.8028744060677466,0,1,6,38.23005157749724,-696.4025750666653,40.534462751355925,-689.4344751912646,2436,38.99643325805664,-694.3867797851562,40.126251220703125,-691.3167114257812,0.9141192436218262,1,5.4278524354076705,17.059021163731813,3,/yh/study/cvpr_data/Bearing_UAV_90K/citya/uav_254k_34bc_b15_s100/blk_1_1_s_097_v3d.jpg,41.267051696777344,-690.3868408203125,19.603278433332182,-1.2015352072850287,0,5.50110331642882,5.50110331642882,1,5.50110331642882,26.930673675362033,-12.000000000000002,9.44779117870487,3.019541007724394,30.64393328705581,-693.2330244132754,10.997790950541653,4.025082797919844,1,0.0,0,0,0.6546627717054263,1.0,14.768280982971191,-2.2801356315612793,1,1,6,18,1,37.51588886178886,38.99643325805664,-689.8867797851562,36.79796600341797,-697.4837646484375,1,36.79796600341797,-697.4837646484375,11.733902931213379,-4.101877689361572,0.6145848035812378,0.22453774511814117,4.0,4.0,1,13.53130054473877,-4.1258625984191895,6.739481149918292,5.152931213378906,4.888242721557617,0.6546627717054263,13.53130054473877,-4.1258625984191895,13.53130054473877,0.5893474344104401,0.0,-4.71521003282963,0.0,0,22.212466053073754,5.811015051114515,-0.013055622577667236,5.486321449279785,-0.007280958816409111,-0.015533272176980972,-0.008911468088626862,-0.12303016980702984,0.0,37.445561859020465,37.445561859020465,10.51488818365843,5.478516578674316,-0.023500656709074974,0.33651866033888206,1.0,18.13210049486169,-1.2430146296978368,0,0,1,63.873996839421935,0.22110673577050408,1.4711779384704933,0.014781867149034511,40.126251220703125,-691.3167114257812,9.170786490320987,5.50110331642882,3.6696831738921674,0,1.4717625722670025,256.95235561579466
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,39.864997226318586,-693.4096370816402,-3.0537802395017297,-3.9297786832026897,0,1,6,37.29965933768102,-697.6472415508038,42.01048271348236,-688.2990752203982,2217,38.99643325805664,-698.8867797851562,41.036109924316406,-691.1851196289062,0.9080265164375305,1,7.464588583427504,7.789954077452421,4,/yh/study/cvpr_data/Bearing_UAV_90K/citya/uav_254k_34bc_b15_s100/blk_2_0_s_023_v3d.jpg,42.91877746582031,-689.4798583984375,21.465472843816585,-1.489714157368866,0,1.8843606686913275,1.8843606686913275,1,1.8843606686913275,28.77171629519071,1.8410426198286762,15.883655937010062,-4.126815843376681,40.10236475810964,-694.973382289648,6.173409534726755,3.1151115648911896,1,0.0,0,0,0.6697599904573337,1.0,16.648944854736328,-2.742628335952759,1,1,6,18,1,37.491274407484866,38.99643325805664,-707.8867797851562,35.71757888793945,-698.8451538085938,1,35.71757888793945,-698.8451538085938,10.047508239746094,-4.522223472595215,0.5871353149414062,0.25488144159317017,4.0,4.0,1,12.03128433227539,-4.537408351898193,9.914249985483744,5.170315742492676,4.87608003616333,0.6697599904573337,12.03128433227539,-4.537408351898193,12.03128433227539,-4.537408351898193,0.0,0.0,0.0,0,11.554551704453921,2.3554345575461872,-0.008757013781188523,5.432628631591797,-0.009448389522731304,-0.037099916487932205,-0.010837811976671219,-0.14266082717273407,0.0,37.42593120165476,37.42593120165476,8.654214906464048,5.414024829864502,-0.02834775671362877,0.31053447293275904,1.0,18.933509264635425,-1.6934624571711265,0,0,1,63.0725880696482,0.2308792867859113,2.531963579181159,3.5482679629004696,41.036109924316406,-691.1851196289062,0.9193254383218339,1.8843606686913275,0.0,0,2.540148211418412,249.30680869147182
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,44.63241364714975,-690.6831999518877,-2.9277860903990813,-4.0527678229814,0,1,6,42.97309303475312,-696.4487625591812,46.30351534902579,-684.9967424238263,2437,43.49643325805664,-694.3867797851562,45.812461853027344,-689.291259765625,0.9150639176368713,1,7.700120877359838,16.056329011917114,5,/yh/study/cvpr_data/Bearing_UAV_90K/citya/uav_254k_34bc_b15_s100/blk_2_1_s_068_v3d.jpg,47.56019973754883,-686.6304321289062,26.881701338733976,-2.06111564567392,0,5.44628596109241,5.44628596109241,1,5.44628596109241,31.546276147940407,2.7745598527496966,17.79246670606562,-4.563294755174559,41.8814598537314,-694.1555234795584,9.427358405392166,3.0764747976641575,1,0.0,0,0,0.5538826765454188,1.0,22.090051651000977,-3.4883339405059814,1,1,6,18,1,37.468404286111344,43.49643325805664,-689.8867797851562,41.41194534301758,-697.6432495117188,1,41.41194534301758,-697.6432495117188,15.293813705444336,-7.041481971740723,0.695794939994812,0.09755419194698334,4.0,4.0,1,17.256195068359375,-7.064216613769531,10.848105376423188,5.167304992675781,4.878535270690918,0.5538826765454188,17.256195068359375,-7.064216613769531,17.256195068359375,-6.827201171474501,0.0,-0.2370154422950308,0.0,0,15.80316536545655,5.760583084205017,-0.025953572243452072,5.425678253173828,-0.012445617467164993,-0.027745859697461128,-0.012928390875458717,-0.160141575775471,0.0,37.408450453052026,37.408450453052026,5.8621743051116155,5.411730766296387,-0.03403570130467415,0.14812348145934454,1.0,23.87406712192164,-3.1045368660722694,0,0,1,58.13203021236198,0.2911255125896694,3.0076342168123347,0.020607707918581575,45.812461853027344,-689.291259765625,5.138116671373702,5.44628596109241,0.0,0,3.1834873056630713,245.51917798817158
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,55.268585452923375,-686.4308503258148,-2.796844234576623,-4.17163401722106,0,1,6,54.43398432905742,-689.0666982079981,55.0159388366926,-678.2948782025442,2658,52.49643325805664,-689.8867797851562,54.576629638671875,-682.2520141601562,0.9073830246925354,1,6.816176813747234,9.778656996786594,6,/yh/study/cvpr_data/Bearing_UAV_90K/citya/uav_254k_34bc_b15_s100/blk_2_1_s_080_v3d.jpg,58.0654296875,-682.2592163085938,37.87357593176634,-5.001536870626351,0,11.378373523887383,11.378373523887383,1,11.378373523887383,22.5921465024511,-8.954129645489306,28.477612450575364,-7.078162622391513,51.88410469866605,-689.634019738868,9.622707740172096,3.378417853318487,1,0.0,0,0,0.3168304668701068,1.0,33.11323928833008,-6.602807998657227,1,1,6,18,1,37.447420444207076,52.49643325805664,-685.3867797851562,53.10749053955078,-690.1307373046875,1,53.10749053955078,-690.1307373046875,29.14444351196289,-8.21778392791748,0.7004506587982178,0.003757566213607788,4.0,4.0,1,30.9791202545166,-8.248265266418457,7.62068004587543,5.157651901245117,4.885546684265137,0.3168304668701068,30.9791202545166,-8.248265266418457,30.9791202545166,-8.248265266418457,0.0,0.0,0.0,0,23.74995551377092,11.218103641976393,-0.031611062586307526,5.4528608322143555,-0.01601411961019039,-0.005882717669010162,-0.015046283602714539,-0.17177705649063896,0.0,37.396814972336855,37.396814972336855,14.804668469885756,5.449824810028076,-0.03987640142440796,0.16160090830797227,1.0,35.11266054727945,-2.8686693427782686,0,0,1,46.89343678700418,0.42817133955477454,2.7609153844868928,5.925512691673028,54.576629638671875,-682.2520141601562,11.241068261915345,11.378373523887383,0.0,0,3.4888074827432427,208.20256089791656
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,56.606492235542525,-685.1246133645316,-2.6610897041547403,-4.286173423125272,0,1,6,54.49004570010528,-685.1144880540696,56.457814890059566,-677.1857427768772,2877,52.49643325805664,-685.3867797851562,55.5057487487793,-680.759765625,0.9339314103126526,1,4.471605988604961,15.995507594197989,7,/yh/study/cvpr_data/Bearing_UAV_90K/citya/uav_254k_34bc_b15_s100/blk_2_1_s_099_v3d.jpg,59.267581939697266,-680.8384399414062,39.69269328524917,-4.608360603185082,0,1.8611221139467093,1.8611221139467093,1,1.8611221139467093,49.76465542977768,12.000000000000002,33.17095793837098,-8.199170294808887,56.28765336231662,-687.660974063702,7.444927546738132,3.8108402347266437,1,0.0,0,0,0.3604788349903003,1.0,34.970123291015625,-6.383189678192139,1,1,6,18,1,37.42970853638962,52.49643325805664,-685.3867797851562,52.75719451904297,-686.1824340820312,1,52.75719451904297,-686.1824340820312,31.274112701416016,-4.874685287475586,0.7523399591445923,0.03263255953788757,4.0,4.0,1,33.304969787597656,-4.896092414855957,6.394200581612764,5.173914432525635,4.873789310455322,0.3604788349903003,33.304969787597656,-4.896092414855957,33.304969787597656,-6.254380217074892,0.0,1.3582878022189346,0.0,0,14.097182773759913,2.3263476811851205,-0.01599127779938244,5.409303188323975,-0.016710247844457626,-0.02655990794301033,-0.016005393117666245,-0.165222729589858,0.0,37.40336929923764,37.40336929923764,12.36128613054005,5.39592981338501,-0.04027322679758072,0.060575841576110664,1.0,36.75894263243306,-2.252371275650796,0,0,1,45.24715470185056,0.44824645760901916,2.9337506528161086,3.5481810743772653,55.5057487487793,-680.759765625,1.7578589281972492,1.8611221139467093,0.0,0,3.76265579137317,210.31542727723718
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,60.579889180528305,-682.240363799864,-2.5206662393935693,-4.396186553770281,0,1,6,58.02947959213702,-687.5364192376873,60.31293261700597,-674.2202676023031,2878,56.99643325805664,-685.3867797851562,58.43965530395508,-679.9239501953125,0.9124658107757568,1,7.623511594775696,12.292043771594763,8,/yh/study/cvpr_data/Bearing_UAV_90K/citya/uav_254k_34bc_b15_s100/blk_1_1_s_069_v3d.jpg,63.100555419921875,-677.8441772460938,44.556434201419776,-4.572041338143765,0,4.863876518646956,4.863876518646956,1,4.863876518646956,37.99643182546921,-11.768223604308476,38.70800307147811,-5.124153960771767,58.8015776149212,-681.8476463494899,5.874434017821276,4.236798909425383,1,0.0,0,0,0.36366804409388453,1.0,39.878089904785156,-6.519686698913574,1,1,6,18,1,37.42048980872251,61.49643325805664,-703.3867797851562,56.38700866699219,-689.1007080078125,1,56.38700866699219,-689.1007080078125,32.37188720703125,-9.40091609954834,0.8039911985397339,0.04527151584625244,4.0,4.0,1,34.42878723144531,-9.417466163635254,11.227082207230941,5.176150321960449,4.872271537780762,0.36366804409388453,34.42878723144531,-9.417466163635254,34.42878723144531,-7.074206233526676,0.0,-2.3432599301085775,0.0,0,14.471376062394924,5.409252166748047,-0.039410300552845,5.372694492340088,-0.019595269113779068,-0.035394974052906036,-0.01852983608841896,-0.188402217178126,0.0,37.380189811649366,37.380189811649366,0.6162420138198409,5.354873180389404,-0.04646851122379303,0.2732765580011509,1.0,39.5940330114213,-3.3787183136348737,0,0,1,42.41206432286232,0.4828181598500304,4.962401189998474,0.508817973693132,58.43965530395508,-679.9239501953125,3.050638475304329,4.863876518646956,0.0,0,5.103865732101635,234.10835536196828
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,60.37092072849044,-680.6267228060531,-2.375726152613076,-4.501478665428037,0,1,6,58.46044160702533,-684.6558273376704,60.92129975697116,-673.7522928792529,2878,56.99643325805664,-685.3867797851562,60.09996795654297,-678.1489868164062,0.8892751336097717,1,6.710217598552819,15.518764965236187,9,/yh/study/cvpr_data/Bearing_UAV_90K/citya/uav_254k_34bc_b15_s100/blk_2_1_s_077_v3d.jpg,62.746646881103516,-676.125244140625,45.32396981518846,-2.993791878609102,0,1.7549878275717432,1.7549878275717432,1,1.7549878275717432,101.63397124193115,12.000000000000002,36.821173612813425,-9.180568871962171,59.779271144458264,-686.2132783426971,10.515405499770672,4.063722651724883,1,0.0,0,0,0.3045021982825175,1.0,40.696311950683594,-5.1132659912109375,1,1,6,18,1,37.406384814415986,61.49643325805664,-698.8867797851562,56.73835754394531,-685.7996215820312,1,56.73835754394531,-685.7996215820312,34.663082122802734,-6.998616695404053,0.8196473121643066,0.025049522519111633,4.0,4.0,1,36.72039794921875,-7.016911029815674,9.497733232604075,5.1770524978637695,4.871830463409424,0.3045021982825175,36.72039794921875,-7.016911029815674,36.72039794921875,-7.328140244796017,0.0,0.31122921498034306,0.0,0,12.972834958562398,2.193660002098221,-0.018113524359583168,5.347419738769531,-0.02156454138457775,-0.036579813808202744,-0.020156070590019226,-0.19597941826796922,0.0,37.37261261055953,37.37261261055953,64.26135863137164,5.328990459442139,-0.0498705729842186,0.05353703469257489,1.0,41.99225092150963,-2.9841502503893267,0,0,1,40.013846412773994,0.5120625451828966,3.3317188936788327,3.592431911197788,60.09996795654297,-678.1489868164062,2.4304594423280816,1.7549878275717432,0.6754716147563384,0,3.3317328445557015,250.37754094228148
