variant,label,frames,MLE_m,MedLE_m,P90_m,P95_m,P99_m,CVaR90_m,LSR@3_pct,LSR@5_pct,LSR@10_pct,LSR@15_pct,LSR@20_pct,MS_Latency_ms
frames1,1 frame,200,5.050177222990469,4.368255443439883,9.152519206741376,11.091875520470243,14.426240148324405,11.789673303160276,30.0,58.5,92.0,99.5,100.0,9.409426746672716
frames2,2 frames,200,5.054238316676233,4.323690782065476,9.220509228950938,11.199262985054444,14.426860470938212,11.867182701677907,30.5,57.49999999999999,91.0,99.5,100.0,9.988206046686576
full,Full,200,5.061863672467954,4.289754901949248,9.228252303940385,11.187170922454897,14.426793737535107,11.875462070108322,30.5,57.49999999999999,91.5,99.5,100.0,7.412991574607218
grid4,4x4,200,5.063147333570452,4.3005437420195545,9.22827144064012,11.171460292479205,14.426767436640546,11.878819418885211,30.5,57.49999999999999,91.5,99.5,100.0,5.4709296092326305
grid5,5x5,200,5.062538907912798,4.295307072365871,9.228283759306555,11.184654988973973,14.426752633034678,11.877132871329248,30.5,57.49999999999999,91.5,99.5,100.0,6.452034093883285
grid7,7x7,200,5.061117533095892,4.286156093030584,9.228226132724664,11.191235669040106,14.426807434474634,11.875102521757588,30.5,57.49999999999999,91.5,99.5,100.0,12.024130696088777
grid8,8x8,200,5.060516677940285,4.281920573661943,9.228127562970519,11.191304127290778,14.426767270970066,11.873716667023796,30.5,57.49999999999999,91.5,99.5,100.0,13.791048976537258
no_gru,w/o GRU,200,4.857833687141689,4.155869252165417,9.008038625638315,10.450252836059773,14.228932447194238,11.373993847191429,33.0,61.5,93.0,99.5,100.0,9.089501724652392
no_kalman,w/o Kalman,200,4.388453977916542,3.7343175033248,8.03789467973356,9.910226651758421,12.758898805908872,10.132689119747315,39.5,65.0,95.0,100.0,100.0,8.900517858680404
no_ms,w/o MeanShift,200,6.99797855715991,6.665446958633705,13.627927090632769,16.39894835055455,19.44268677516352,16.74941409020031,25.0,41.5,76.0,92.0,100.0,0.0
