sequence_index,frame_id,image_path,active_leg_before,active_leg_after,active_waypoint_from,active_waypoint_to,search_heading_deg,forward_local_candidate_count,topology_recovery_candidate_count,selected_branch,selected_local_index,selected_recovery_index,leg_choice,leg_state_delta,leg_probability_previous,leg_probability_current,leg_probability_next,waypoint_switched_after_frame,waypoint_advanced_after_frame,waypoint_rollback_after_frame,gt_x,gt_y,hold_x,hold_y,local_x,local_y,recovery_x,recovery_y,fusion_hold,fusion_local,fusion_recovery,visual_x,visual_y,measurement_var_x,measurement_var_y,final_x,final_y,error_visual_m,error_final_m
0,0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,0,1,0,1,173.92622867160193,18,24,0,0,0,2,1,0.0,0.15487271547317505,0.8451272249221802,1,1,0,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,-37.266056060791016,4.535549163818359,-27.711679458618164,18.750001907348633,0.33416762948036194,0.3324778974056244,0.33335447311401367,-37.63298034667969,0.8348962068557739,39.18902587890625,38.81089401245117,-37.63298034667969,0.8348962068557739,0.0,0.0
1,1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,1,2,1,2,-6.0426109237265475,1,24,0,0,0,2,1,0.4356935918331146,0.040731921792030334,0.5235744714736938,1,1,0,-47.69226837158203,1.7922438383102417,-37.63298034667969,0.8348962068557739,-476.9750061035156,54.90145492553711,-27.711679458618164,18.750001907348633,0.33335450291633606,0.33333075046539307,0.33331477642059326,-37.63298034667969,0.8348962068557739,49.0,49.0,-37.63298034667969,0.8348962068557739,10.104741096496582,10.104740969237914
2,2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,2,3,2,3,-5.8301891073587075,1,24,1,0,0,2,1,0.43486520648002625,0.03442160412669182,0.5307132005691528,1,1,0,-50.9120979309082,2.1374623775482178,-37.63298034667969,0.8348962068557739,-382.3177490234375,59.06195068359375,-519.8004150390625,17.104955673217773,0.33325478434562683,0.33343788981437683,0.33330729603767395,-382.3177490234375,59.06195068359375,49.0,49.0,-81.53694237171067,8.242029511303194,336.25897216796875,31.227341175864957
3,3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,3,4,3,4,173.07373517963933,17,24,1,5,0,2,1,0.43446671962738037,0.03296681120991707,0.5325664281845093,1,1,0,-54.1414794921875,2.4837052822113037,-382.3177490234375,59.06195068359375,-396.45086669921875,68.66795349121094,-1313.5772705078125,193.39222717285156,0.3332378566265106,0.33345502614974976,0.3333071172237396,-396.45086669921875,68.66795349121094,49.0,49.0,-118.8755671713174,15.398937743338369,348.64892578125,66.00988817725893
4,4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,4,5,4,5,83.68598499006065,1,24,1,0,0,2,1,0.43446797132492065,0.03278036415576935,0.5327516198158264,1,1,0,-57.659645080566406,2.8609108924865723,-396.45086669921875,68.66795349121094,-1280.6085205078125,169.39427185058594,-973.0390625,172.22476196289062,0.33322983980178833,0.3334648609161377,0.333305299282074,-1280.6085205078125,169.39427185058594,49.0,49.0,-248.60883882125052,32.5805373355883,1234.2354736328125,193.248158558199
5,5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,5,6,5,6,-7.225817775697473,1,24,1,0,0,2,1,0.4344085454940796,0.032826535403728485,0.5327649116516113,1,1,0,-60.85377502441406,3.1642963886260986,-1280.6085205078125,169.39427185058594,-1275.6357421875,207.42987060546875,-1015.40966796875,205.7991180419922,0.33322447538375854,0.33347123861312866,0.3333042562007904,-1275.6357421875,207.42987060546875,49.0,49.0,-357.67624635429513,51.13508333433039,1231.8358154296875,300.6738696437857
6,6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,6,7,6,7,82.21693894437024,1,24,1,0,0,2,1,0.43429186940193176,0.03250116854906082,0.5332069993019104,1,1,0,-64.02477264404297,3.465484857559204,-1275.6357421875,207.42987060546875,-566.20166015625,160.1480712890625,-1015.40966796875,205.7991180419922,0.3332225978374481,0.3334729075431824,0.3333044946193695,-566.20166015625,160.1480712890625,49.0,49.0,-378.90451970970213,62.22578113825214,526.0523681640625,320.3155124734491
7,7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,7,8,7,8,172.36897593993996,1,24,1,0,0,2,1,0.43414098024368286,0.03237440064549446,0.5334846377372742,1,1,0,-67.50447845458984,3.795994520187378,-566.20166015625,160.1480712890625,-565.8368530273438,217.2459259033203,-749.7846069335938,308.8133239746094,0.33322224020957947,0.33347246050834656,0.33330532908439636,-565.8368530273438,217.2459259033203,49.0,49.0,-397.269086083633,77.44711176841518,542.1217651367188,337.88930660298945
8,8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,8,9,8,9,84.24409946172725,1,24,1,0,0,2,1,0.43402719497680664,0.03210488334298134,0.5338678956031799,1,1,0,-70.70535278320312,4.076558589935303,-565.8368530273438,217.2459259033203,-1260.5966796875,340.5692138671875,-740.0789794921875,346.8190002441406,0.33321869373321533,0.3334771394729614,0.33330413699150085,-1260.5966796875,340.5692138671875,49.0,49.0,-479.5766079928295,102.5212358837329,1236.55517578125,420.5556536585561
9,9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,9,10,9,10,-7.178154916059754,1,24,1,0,0,2,1,0.43415650725364685,0.03245627507567406,0.5333871841430664,1,1,0,-73.90149688720703,4.35670804977417,-1260.5966796875,340.5692138671875,-1250.7113037109375,407.12408447265625,-740.0789794921875,346.8190002441406,0.3332153260707855,0.33348119258880615,0.3333034813404083,-1250.7113037109375,407.12408447265625,49.0,49.0,-551.2569610741555,130.82465584042868,1243.825927734375,493.8242410083943
10,10,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000010.jpg,10,11,10,11,81.39730237014972,1,24,1,0,0,2,1,0.43430936336517334,0.03240925073623657,0.5332814455032349,1,1,0,-77.41057586669922,4.6642866134643555,-1250.7113037109375,407.12408447265625,-541.2068481445312,369.357666015625,-740.0789794921875,346.8190002441406,0.33321434259414673,0.3334817886352539,0.33330386877059937,-541.2068481445312,369.357666015625,49.0,49.0,-550.3425068159792,152.5216864862424,590.0070190429688,495.50622802196244
