[mkg-runner] GPU grid lookup; CPU threads=2; decoder=softms; SoftMS active
[MKG-ablation:component_mg] epoch=001/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=2.963944 train_mle=5.236m best=2.963944 bad=0/8
[MKG-ablation:component_mg] epoch=002/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=2.944957 train_mle=5.200m best=2.944957 bad=0/8
[MKG-ablation:component_mg] epoch=003/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=2.921474 train_mle=5.167m best=2.921474 bad=0/8
[MKG-ablation:component_mg] epoch=004/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=2.895706 train_mle=5.136m best=2.895706 bad=0/8
[MKG-ablation:component_mg] epoch=005/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=2.772368 train_mle=4.943m best=2.772368 bad=0/8
[MKG-ablation:component_mg] epoch=006/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=2.709474 train_mle=4.843m best=2.709474 bad=0/8
[MKG-ablation:component_mg] epoch=007/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=2.682255 train_mle=4.805m best=2.682255 bad=0/8
[MKG-ablation:component_mg] epoch=008/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=2.660324 train_mle=4.767m best=2.660324 bad=0/8
[MKG-ablation:component_mg] epoch=009/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=2.645046 train_mle=4.749m best=2.645046 bad=0/8
[MKG-ablation:component_mg] epoch=010/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=2.592021 train_mle=4.676m best=2.592021 bad=0/8
[MKG-ablation:component_mg] epoch=011/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=2.530070 train_mle=4.584m best=2.530070 bad=0/8
[MKG-ablation:component_mg] epoch=012/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=2.469131 train_mle=4.493m best=2.469131 bad=0/8
[MKG-ablation:component_mg] epoch=013/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=2.408543 train_mle=4.401m best=2.408543 bad=0/8
