[mkg-runner] GPU grid lookup; CPU threads=2; decoder=softms; SoftMS active
[MKG-ablation:window_5x5] epoch=001/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=2.185857 train_mle=4.043m best=2.185857 bad=0/8
[MKG-ablation:window_5x5] epoch=002/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=2.184598 train_mle=4.041m best=2.184598 bad=0/8
[MKG-ablation:window_5x5] epoch=003/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=2.157155 train_mle=3.996m best=2.157155 bad=0/8
[MKG-ablation:window_5x5] epoch=004/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=2.101648 train_mle=3.900m best=2.101648 bad=0/8
[MKG-ablation:window_5x5] epoch=005/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=2.083638 train_mle=3.867m best=2.083638 bad=0/8
[MKG-ablation:window_5x5] epoch=006/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=2.065720 train_mle=3.853m best=2.065720 bad=0/8
[MKG-ablation:window_5x5] epoch=007/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=2.067682 train_mle=3.851m best=2.065720 bad=1/8
[MKG-ablation:window_5x5] epoch=008/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=2.042317 train_mle=3.820m best=2.042317 bad=0/8
[MKG-ablation:window_5x5] epoch=009/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=2.017041 train_mle=3.793m best=2.017041 bad=0/8
[MKG-ablation:window_5x5] epoch=010/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=1.994296 train_mle=3.758m best=1.994296 bad=0/8
[MKG-ablation:window_5x5] epoch=011/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=1.966792 train_mle=3.722m best=1.966792 bad=0/8
[MKG-ablation:window_5x5] epoch=012/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=1.951359 train_mle=3.713m best=1.951359 bad=0/8
[MKG-ablation:window_5x5] epoch=013/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=1.917118 train_mle=3.664m best=1.917118 bad=0/8
[MKG-ablation:window_5x5] epoch=014/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=1.845851 train_mle=3.575m best=1.845851 bad=0/8
[MKG-ablation:window_5x5] epoch=015/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=1.764600 train_mle=3.471m best=1.764600 bad=0/8
[MKG-ablation:window_5x5] epoch=016/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=1.650004 train_mle=3.304m best=1.650004 bad=0/8
[MKG-ablation:window_5x5] epoch=017/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=1.604642 train_mle=3.210m best=1.604642 bad=0/8
[MKG-ablation:window_5x5] epoch=018/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=1.484327 train_mle=3.037m best=1.484327 bad=0/8
[MKG-ablation:window_5x5] epoch=019/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=1.399761 train_mle=2.928m best=1.399761 bad=0/8
[MKG-ablation:window_5x5] epoch=020/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=1.492755 train_mle=3.092m best=1.399761 bad=1/8
[MKG-ablation:window_5x5] epoch=021/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=1.342591 train_mle=2.815m best=1.342591 bad=0/8
[MKG-ablation:window_5x5] epoch=022/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=1.183438 train_mle=2.559m best=1.183438 bad=0/8
[MKG-ablation:window_5x5] epoch=023/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.999086 train_mle=2.266m best=0.999086 bad=0/8
[MKG-ablation:window_5x5] epoch=024/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.935548 train_mle=2.170m best=0.935548 bad=0/8
[MKG-ablation:window_5x5] epoch=025/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.873972 train_mle=2.063m best=0.873972 bad=0/8
[MKG-ablation:window_5x5] epoch=026/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.916384 train_mle=2.141m best=0.873972 bad=1/8
[MKG-ablation:window_5x5] epoch=027/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.834170 train_mle=1.977m best=0.834170 bad=0/8
[MKG-ablation:window_5x5] epoch=028/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.880661 train_mle=2.077m best=0.834170 bad=1/8
[MKG-ablation:window_5x5] epoch=029/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.851425 train_mle=2.012m best=0.834170 bad=2/8
[MKG-ablation:window_5x5] epoch=030/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.850667 train_mle=2.015m best=0.834170 bad=3/8
[MKG-ablation:window_5x5] epoch=031/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.859133 train_mle=2.036m best=0.834170 bad=4/8
[MKG-ablation:window_5x5] epoch=032/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.764162 train_mle=1.870m best=0.764162 bad=0/8
[MKG-ablation:window_5x5] epoch=033/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.728435 train_mle=1.814m best=0.728435 bad=0/8
[MKG-ablation:window_5x5] epoch=034/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.630523 train_mle=1.635m best=0.630523 bad=0/8
[MKG-ablation:window_5x5] epoch=035/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.717267 train_mle=1.786m best=0.630523 bad=1/8
[MKG-ablation:window_5x5] epoch=036/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.726518 train_mle=1.790m best=0.630523 bad=2/8
[MKG-ablation:window_5x5] epoch=037/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.588273 train_mle=1.561m best=0.588273 bad=0/8
[MKG-ablation:window_5x5] epoch=038/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.575677 train_mle=1.537m best=0.575677 bad=0/8
[MKG-ablation:window_5x5] epoch=039/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.624523 train_mle=1.616m best=0.575677 bad=1/8
[MKG-ablation:window_5x5] epoch=040/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.722213 train_mle=1.799m best=0.575677 bad=2/8
[MKG-ablation:window_5x5] epoch=041/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.518387 train_mle=1.436m best=0.518387 bad=0/8
