pair_current_index,pair_next_index,current_frame_id,next_frame_id,reference_current_x,reference_current_y,search_center_x,search_center_y,search_center_error_m,final_ms_x,final_ms_y,final_error_m,reference_next_x,reference_next_y,provisional_next_x,provisional_next_y,provisional_next_error_m,ms_candidate_count,kalman_current_xy_x,kalman_current_xy_y,gru_next_xy_x,gru_next_xy_y
0,1,0,1,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,0.0,-29.69103240966797,0.6151264905929565,7.944988090764576,-47.69226837158203,1.7922438383102417,-31.053752899169922,0.30949798226356506,16.704452472299735,36,-30.963647842407227,0.7216981649398804,-31.053752899169922,0.30949798226356506
1,2,1,2,-47.69226837158203,1.7922438383102417,-47.69226837158203,1.7922438383102417,0.0,-39.5966911315918,-1.8984417915344238,8.897164226144746,-50.9120979309082,2.1374623775482178,-34.76524353027344,-2.242201328277588,16.730282759458255,36,-31.984100341796875,-0.8764139413833618,-34.76524353027344,-2.242201328277588
2,3,2,3,-50.9120979309082,2.1374623775482178,-50.9120979309082,2.1374623775482178,0.0,-51.9869384765625,0.570592999458313,1.900095220397723,-54.1414794921875,2.4837052822113037,-46.48063278198242,-0.3911135494709015,8.182490796344021,36,-42.50088882446289,-0.4164659082889557,-46.48063278198242,-0.3911135494709015
3,4,3,4,-54.1414794921875,2.4837052822113037,-54.1414794921875,2.4837052822113037,0.0,-54.185997009277344,4.601127624511719,2.117890267459771,-57.659645080566406,2.8609108924865723,-54.384681701660156,3.5914032459259033,3.3554439663940707,36,-50.47269821166992,2.1759302616119385,-54.384681701660156,3.5914032459259033
4,5,4,5,-57.659645080566406,2.8609108924865723,-57.659645080566406,2.8609108924865723,0.0,-53.45266342163086,4.556041240692139,4.535654481552537,-60.85377502441406,3.1642963886260986,-58.64181137084961,5.670332908630371,3.342604111211097,36,-54.626380920410156,3.681154251098633,-58.64181137084961,5.670332908630371
5,6,5,6,-60.85377502441406,3.1642963886260986,-60.85377502441406,3.1642963886260986,0.0,-73.4153060913086,9.627350807189941,14.126681675534211,-64.02477264404297,3.465484857559204,-68.81491088867188,8.788182258605957,7.160763368926972,36,-64.28559875488281,7.115807056427002,-68.81491088867188,8.788182258605957
6,7,6,7,-64.02477264404297,3.465484857559204,-64.02477264404297,3.465484857559204,0.0,-76.6735610961914,7.9935503005981445,13.434851170133859,-67.50447845458984,3.795994520187378,-78.67356872558594,10.334668159484863,12.942288454632102,36,-73.86697387695312,8.335955619812012,-78.67356872558594,10.334668159484863
7,8,7,8,-67.50447845458984,3.795994520187378,-67.50447845458984,3.795994520187378,0.0,-75.13109588623047,6.675940990447998,8.15226257674342,-70.70535278320312,4.076558589935303,-83.37596893310547,9.882292747497559,13.937397989813277,36,-78.69279479980469,8.408661842346191,-83.37596893310547,9.882292747497559
8,9,8,9,-70.70535278320312,4.076558589935303,-70.70535278320312,4.076558589935303,0.0,-77.14640045166016,6.686550617218018,6.949759236823611,-73.90149688720703,4.35670804977417,-85.91960906982422,10.050661087036133,13.298726315873877,36,-81.4210205078125,8.257287979125977,-85.91960906982422,10.050661087036133
9,10,9,10,-73.90149688720703,4.35670804977417,-73.90149688720703,4.35670804977417,0.0,-77.87831115722656,5.52518892288208,4.144924521514234,-77.41057586669922,4.6642866134643555,-86.38175201416016,9.02756118774414,9.975979474684603,36,-82.29512786865234,7.493522644042969,-86.38175201416016,9.02756118774414
10,11,10,11,-77.41057586669922,4.6642866134643555,-77.41057586669922,4.6642866134643555,0.0,-77.76382446289062,5.47208309173584,0.8816573716694098,-80.71418762207031,4.9646830558776855,-86.95879364013672,8.299705505371094,7.079369962044376,36,-82.41837310791016,6.831230640411377,-86.95879364013672,8.299705505371094
11,12,11,12,-80.71418762207031,4.9646830558776855,-80.71418762207031,4.9646830558776855,0.0,-81.38468933105469,4.772594451904297,0.6974744249988044,-84.01985931396484,5.2652668952941895,-88.16020965576172,7.480051040649414,4.695505272421102,36,-84.24998474121094,5.988711357116699,-88.16020965576172,7.480051040649414
