pair_current_index,pair_next_index,current_frame_id,next_frame_id,current_image_path,next_image_path,is_initial_frame,reference_current_x,reference_current_y,search_center_x,search_center_y,search_center_error_m,final_ms_x,final_ms_y,final_error_m,variance_x,variance_y,ms_candidate_count,reference_next_x,reference_next_y,provisional_next_x,provisional_next_y,provisional_next_error_m,gru_next_xy_x,gru_next_xy_y,kalman_next_xy_x,kalman_next_xy_y,ms_correction_gain_m,ms_improved_search_center
0,1,0,1,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,True,-18.780746459960938,-2.1595981121063232,-18.780745674413577,-2.1595981213156596,7.856013413017934e-07,-13.725164413452148,-1.2636386156082153,5.134360062203189,43.06544876098633,40.68419647216797,36,-25.919267654418945,-1.4582853317260742,-16.3399600982666,-1.5208189487457275,9.579511663368596,-14.278910636901855,-1.0112459659576416,-16.3399600982666,-1.5208189487457275,,
1,2,1,2,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,False,-25.919267654418945,-1.4582853317260742,-16.3399600982666,-1.5208189487457275,9.579511663368596,-13.827496528625488,-1.4174894094467163,12.09183994542795,40.25752258300781,39.43534851074219,36,-28.881437301635742,-1.16508948802948,-15.912641525268555,-1.019423246383667,12.969613816265872,-16.377592086791992,-0.9052032232284546,-15.912641525268555,-1.019423246383667,-2.5123282820593538,False
2,3,2,3,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,False,-28.881437301635742,-1.16508948802948,-15.912641525268555,-1.019423246383667,12.969613816265872,-9.200145721435547,-1.4000201225280762,19.6826936842467,49.56132888793945,40.08137893676758,36,-31.84273910522461,-0.8719794154167175,-13.428664207458496,-0.9514158964157104,18.414246237493774,-12.088641166687012,-1.174428939819336,-13.428664207458496,-0.9514158964157104,-6.713079867980829,False
3,4,3,4,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,False,-31.84273910522461,-0.8719794154167175,-13.428664207458496,-0.9514158964157104,18.414246237493774,-12.705677032470703,-1.2032496929168701,19.13992906917868,66.56033325195312,42.7310676574707,36,-34.80412292480469,-0.5788613557815552,-12.582324981689453,-1.1977367401123047,22.23041408894515,-13.30854606628418,-1.6377038955688477,-12.582324981689453,-1.1977367401123047,-0.7256828316849067,False
4,5,4,5,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,False,-34.80412292480469,-0.5788613557815552,-12.582324981689453,-1.1977367401123047,22.23041408894515,-13.774850845336914,-0.9978827238082886,21.033446296295477,66.29664611816406,44.02608871459961,36,-38.077056884765625,-0.2521708011627197,-13.044294357299805,-0.991985023021698,25.04369231641696,-15.05357837677002,-0.8926180601119995,-13.044294357299805,-0.991985023021698,1.196967792649673,True
5,6,5,6,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,False,-38.077056884765625,-0.2521708011627197,-13.044294357299805,-0.991985023021698,25.04369231641696,-19.126161575317383,-0.4259425103664398,18.951691999306735,61.949302673339844,49.64330291748047,36,-41.34334182739258,0.07385636121034622,-16.105436325073242,-0.47044071555137634,25.243774152288957,-20.557662963867188,0.006169348955154419,-16.105436325073242,-0.47044071555137634,6.092000317110223,True
6,7,6,7,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,False,-41.34334182739258,0.07385636121034622,-16.105436325073242,-0.47044071555137634,25.243774152288957,-19.159847259521484,1.090709924697876,22.206787755376588,60.40385437011719,50.597328186035156,36,-44.61831283569336,0.40075016021728516,-19.28228187561035,0.5947338938713074,25.33677356135163,-23.01016616821289,1.657287836074829,-19.28228187561035,0.5947338938713074,3.0369863969123685,True
7,8,7,8,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,False,-44.61831283569336,0.40075016021728516,-19.28228187561035,0.5947338938713074,25.33677356135163,-16.180355072021484,1.423409342765808,28.456339778194177,64.25491333007812,48.48727035522461,36,-47.93851089477539,0.7270652055740356,-20.288049697875977,2.1992599964141846,27.689625528407152,-20.444530487060547,3.6493887901306152,-20.288049697875977,2.1992599964141846,-3.1195662168425464,False
8,9,8,9,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,False,-47.93851089477539,0.7270652055740356,-20.288049697875977,2.1992599964141846,27.689625528407152,-14.4595947265625,3.322735548019409,33.579388504332194,53.824275970458984,49.92699432373047,36,-51.25859451293945,1.0533686876296997,-20.8909854888916,3.941765308380127,30.504663788938814,-20.50201988220215,5.283431053161621,-20.8909854888916,3.941765308380127,-5.889762975925041,False
9,10,9,10,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000010.jpg,False,-51.25859451293945,1.0533686876296997,-20.8909854888916,3.941765308380127,30.504663788938814,-19.803756713867188,4.444902420043945,31.63715097830475,46.454891204833984,48.57271194458008,36,-54.585689544677734,1.3803616762161255,-23.2237491607666,6.202996730804443,31.7305706458888,-24.918100357055664,7.86962890625,-23.2237491607666,6.202996730804443,-1.1324871893659356,False
10,11,10,11,/yh/study/new_data/model_dataset_flight/vi/vi_000010.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000011.jpg,False,-54.585689544677734,1.3803616762161255,-23.2237491607666,6.202996730804443,31.7305706458888,-16.657886505126953,3.4185807704925537,37.98252993789685,41.05551528930664,51.001380920410156,36,-57.930152893066406,1.7030118703842163,-23.76308250427246,6.844848155975342,34.55180428487956,-23.02798080444336,5.9080119132995605,-23.76308250427246,6.844848155975342,-6.251959292008049,False
11,12,11,12,/yh/study/new_data/model_dataset_flight/vi/vi_000011.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000012.jpg,False,-57.930152893066406,1.7030118703842163,-23.76308250427246,6.844848155975342,34.55180428487956,-16.529224395751953,5.653010368347168,41.588933246401666,37.97441482543945,52.31720733642578,36,-61.281715393066406,2.0263473987579346,-24.465072631835938,7.940976142883301,37.28871166169325,-24.088409423828125,7.875164985656738,-24.465072631835938,7.940976142883301,-7.037128961522107,False
12,13,12,13,/yh/study/new_data/model_dataset_flight/vi/vi_000012.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000013.jpg,False,-61.281715393066406,2.0263473987579346,-24.465072631835938,7.940976142883301,37.28871166169325,-20.293930053710938,6.087584018707275,41.18849584420752,42.556976318359375,56.94345474243164,36,-64.62455749511719,2.3488411903381348,-26.112308502197266,8.790788650512695,39.047304767068255,-27.03763198852539,8.364646911621094,-26.112308502197266,8.790788650512695,-3.8997841825142743,False
13,14,13,14,/yh/study/new_data/model_dataset_flight/vi/vi_000013.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000014.jpg,False,-64.62455749511719,2.3488411903381348,-26.112308502197266,8.790788650512695,39.047304767068255,-23.9393310546875,4.46621036529541,40.7402859922718,21.923147201538086,52.76616668701172,36,-67.96265411376953,2.678952693939209,-30.630889892578125,8.93298625946045,37.85199539925594,-32.896060943603516,7.692621231079102,-30.630889892578125,8.93298625946045,-1.692981225203546,False
14,15,14,15,/yh/study/new_data/model_dataset_flight/vi/vi_000014.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000015.jpg,False,-67.96265411376953,2.678952693939209,-30.630889892578125,8.93298625946045,37.85199539925594,-26.350263595581055,4.400123596191406,41.64797082587556,14.053007125854492,54.909847259521484,36,-71.30087280273438,3.009075880050659,-33.765724182128906,8.218381881713867,37.894910621215416,-34.39502716064453,6.021018981933594,-33.765724182128906,8.218381881713867,-3.79597542661962,False
15,16,15,16,/yh/study/new_data/model_dataset_flight/vi/vi_000015.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000016.jpg,False,-71.30087280273438,3.009075880050659,-33.765724182128906,8.218381881713867,37.894910621215416,-26.666038513183594,3.897965431213379,44.64368439868986,18.589994430541992,55.4844970703125,36,-74.64299774169922,3.3395848274230957,-35.162750244140625,6.966881275177002,39.646528498575634,-34.19646072387695,4.548291206359863,-35.162750244140625,6.966881275177002,-6.74877377747444,False
16,17,16,17,/yh/study/new_data/model_dataset_flight/vi/vi_000016.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000017.jpg,False,-74.64299774169922,3.3395848274230957,-35.162750244140625,6.966881275177002,39.646528498575634,-29.06399917602539,3.544649124145508,45.579459865332836,23.81060028076172,50.069026947021484,36,-77.97047424316406,3.6625680923461914,-37.2159309387207,5.778267860412598,40.80942275335863,-37.2249641418457,4.229458808898926,-37.2159309387207,5.778267860412598,-5.932931366757202,False
17,18,17,18,/yh/study/new_data/model_dataset_flight/vi/vi_000017.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000018.jpg,False,-77.97047424316406,3.6625680923461914,-37.2159309387207,5.778267860412598,40.80942275335863,-28.726762771606445,0.41464322805404663,49.35070552097611,13.07595443725586,49.64785385131836,36,-81.29307556152344,3.9850776195526123,-37.40728759765625,3.560883045196533,43.887838022012694,-36.30350875854492,1.0132851600646973,-37.40728759765625,3.560883045196533,-8.541282767617481,False
18,19,18,19,/yh/study/new_data/model_dataset_flight/vi/vi_000018.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000019.jpg,False,-81.29307556152344,3.9850776195526123,-37.40728759765625,3.560883045196533,43.887838022012694,-30.845619201660156,0.294352650642395,50.58228251054362,55.702152252197266,55.778892517089844,36,-84.62059020996094,4.3080644607543945,-37.73212432861328,1.6929694414138794,46.96133467722657,-34.07366943359375,0.025221407413482666,-37.73212432861328,1.6929694414138794,-6.694444488530927,False
19,20,19,20,/yh/study/new_data/model_dataset_flight/vi/vi_000019.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000020.jpg,False,-84.62059020996094,4.3080644607543945,-37.73212432861328,1.6929694414138794,46.96133467722657,-29.49491310119629,-1.7689878940582275,55.45963254496835,26.3527889251709,52.126800537109375,36,-87.91920471191406,4.623467922210693,-36.799835205078125,-0.39536163210868835,51.36514955562514,-34.782066345214844,-1.8201009035110474,-36.799835205078125,-0.39536163210868835,-8.498297867741783,False
20,21,20,21,/yh/study/new_data/model_dataset_flight/vi/vi_000020.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000021.jpg,False,-87.91920471191406,4.623467922210693,-36.799835205078125,-0.39536163210868835,51.36514955562514,-29.341753005981445,-1.1977553367614746,58.865987536026836,10.242488861083984,49.379112243652344,36,-91.22086334228516,4.939162731170654,-34.770668029785156,-1.8183389902114868,56.85321785381967,-33.76274871826172,-1.9786521196365356,-34.770668029785156,-1.8183389902114868,-7.500837980401698,False
21,22,21,22,/yh/study/new_data/model_dataset_flight/vi/vi_000021.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000022.jpg,False,-91.22086334228516,4.939162731170654,-34.770668029785156,-1.8183389902114868,56.85321785381967,-25.812713623046875,-1.9265491962432861,65.76749995221444,12.304597854614258,53.199562072753906,36,-94.5164794921875,5.254280090332031,-32.822052001953125,-2.1889116764068604,62.14180144656443,-31.46348762512207,-0.8199487924575806,-32.822052001953125,-2.1889116764068604,-8.914282098394764,False
