pair_current_index,pair_next_index,current_frame_id,next_frame_id,current_image_path,next_image_path,is_initial_frame,reference_current_x,reference_current_y,search_center_x,search_center_y,search_center_error_m,final_ms_x,final_ms_y,final_error_m,variance_x,variance_y,ms_candidate_count,reference_next_x,reference_next_y,provisional_next_x,provisional_next_y,provisional_next_error_m,kalman_current_xy_x,kalman_current_xy_y,gru_next_xy_x,gru_next_xy_y,ms_correction_gain_m,ms_improved_search_center
0,1,0,1,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,True,-18.780746459960938,-2.1595981121063232,-18.780745674413577,-2.1595981213156596,7.856013413017934e-07,-13.725164413452148,-1.2636386156082153,5.134360062203189,43.06544876098633,40.68419647216797,36,-25.919267654418945,-1.4582853317260742,-16.46761703491211,-0.9473753571510315,9.465449193532455,-16.039731979370117,-1.6612141132354736,-16.46761703491211,-0.9473753571510315,,
1,2,1,2,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,False,-25.919267654418945,-1.4582853317260742,-16.46761703491211,-0.9473753571510315,9.465449193532455,-13.827496528625488,-1.4174894094467163,12.09183994542795,40.25752258300781,39.43534851074219,36,-28.881437301635742,-1.16508948802948,-15.097412109375,-1.5139493942260742,13.788439133383818,-14.154746055603027,-1.4172699451446533,-15.097412109375,-1.5139493942260742,-2.626390751895494,False
2,3,2,3,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,False,-28.881437301635742,-1.16508948802948,-15.097412109375,-1.5139493942260742,13.788439133383818,-9.200145721435547,-1.4000201225280762,19.6826936842467,49.56132888793945,40.08137893676758,36,-31.84273910522461,-0.8719794154167175,-12.917947769165039,-1.6760213375091553,18.941863966512837,-10.709649085998535,-1.3089864253997803,-12.917947769165039,-1.6760213375091553,-5.8942545508628825,False
3,4,3,4,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,False,-31.84273910522461,-0.8719794154167175,-12.917947769165039,-1.6760213375091553,18.941863966512837,-12.705677032470703,-1.2032496929168701,19.13992906917868,66.56033325195312,42.7310676574707,36,-34.80412292480469,-0.5788613557815552,-12.03167724609375,-1.5398379564285278,22.7927128314475,-10.387130737304688,-1.1635946035385132,-12.03167724609375,-1.5398379564285278,-0.19806510266584354,False
4,5,4,5,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,False,-34.80412292480469,-0.5788613557815552,-12.03167724609375,-1.5398379564285278,22.7927128314475,-13.774850845336914,-0.9978827238082886,21.033446296295477,66.29664611816406,44.02608871459961,36,-38.077056884765625,-0.2521708011627197,-13.407634735107422,-0.8854353427886963,24.677548767609142,-11.057555198669434,-0.9922181963920593,-13.407634735107422,-0.8854353427886963,1.7592665351520225,True
5,6,5,6,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,False,-38.077056884765625,-0.2521708011627197,-13.407634735107422,-0.8854353427886963,24.677548767609142,-19.126161575317383,-0.4259425103664398,18.951691999306735,61.949302673339844,49.64330291748047,36,-41.34334182739258,0.07385636121034622,-14.98220443725586,-1.010368824005127,26.38342488673371,-14.251302719116211,-0.6415822505950928,-14.98220443725586,-1.010368824005127,5.725856768302407,True
6,7,6,7,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,False,-41.34334182739258,0.07385636121034622,-14.98220443725586,-1.010368824005127,26.38342488673371,-14.377918243408203,0.7813605070114136,26.97470354202297,66.38526916503906,52.73493957519531,36,-44.61831283569336,0.40075016021728516,-16.813457489013672,-0.5414912700653076,27.82081594351113,-14.325335502624512,0.09405985474586487,-16.813457489013672,-0.5414912700653076,-0.5912786552892584,False
7,8,7,8,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,False,-44.61831283569336,0.40075016021728516,-16.813457489013672,-0.5414912700653076,27.82081594351113,-16.180355072021484,1.423409342765808,28.456339778194177,64.25491333007812,48.48727035522461,36,-47.93851089477539,0.7270652055740356,-19.526220321655273,2.2704689502716064,28.454179846387362,-15.13272476196289,0.884398341178894,-19.526220321655273,2.2704689502716064,-0.635523834683049,False
8,9,8,9,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,False,-47.93851089477539,0.7270652055740356,-19.526220321655273,2.2704689502716064,28.454179846387362,-14.4595947265625,3.322735548019409,33.579388504332194,53.824275970458984,49.92699432373047,36,-51.25859451293945,1.0533686876296997,-20.08901023864746,3.7063634395599365,31.28228516246791,-14.948369979858398,2.195319890975952,-20.08901023864746,3.7063634395599365,-5.125208657944832,False
9,10,9,10,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000010.jpg,False,-51.25859451293945,1.0533686876296997,-20.08901023864746,3.7063634395599365,31.28228516246791,-15.84550952911377,4.443161487579346,35.57495303297322,60.408592224121094,47.48052215576172,36,-54.585689544677734,1.3803616762161255,-20.770755767822266,6.6899847984313965,34.22925421380203,-15.387548446655273,3.5603463649749756,-20.770755767822266,6.6899847984313965,-4.2926678705053085,False
10,11,10,11,/yh/study/new_data/model_dataset_flight/vi/vi_000010.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000011.jpg,False,-54.585689544677734,1.3803616762161255,-20.770755767822266,6.6899847984313965,34.22925421380203,-16.657886505126953,3.4185807704925537,37.98252993789685,41.05551528930664,51.001380920410156,36,-57.930152893066406,1.7030118703842163,-21.972211837768555,6.97183895111084,36.34190506485417,-16.124765396118164,3.9981350898742676,-21.972211837768555,6.97183895111084,-3.75327572409482,False
11,12,11,12,/yh/study/new_data/model_dataset_flight/vi/vi_000011.jpg,/yh/study/new_data/model_dataset_flight/vi/vi_000012.jpg,False,-57.930152893066406,1.7030118703842163,-21.972211837768555,6.97183895111084,36.34190506485417,-16.529224395751953,5.653010368347168,41.588933246401666,37.97441482543945,52.31720733642578,36,-61.281715393066406,2.0263473987579346,-22.33424186706543,8.570916175842285,39.49350673891259,-16.49138641357422,5.118770122528076,-22.33424186706543,8.570916175842285,-5.247028181547499,False
