frame_id,image_path,reference_x,reference_y,raw_visual_x,raw_visual_y,forward_ms_x,forward_ms_y,variance_x,variance_y,final_x,final_y,error_final_m,gru_xy_x,gru_xy_y,kalman_xy_x,kalman_xy_y,center_ms_xy_x,center_ms_xy_y
0,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,-18.780746459960938,-2.1595981121063232,-26.108793258666992,-1.327972650527954,-25.940465927124023,-1.1768090724945068,33.0589714050293,41.4682502746582,-18.213878631591797,-0.2162792682647705,2.0243090830378683,-18.213878631591797,-0.2162792682647705,-24.80617332458496,-1.7053492069244385,-17.955995559692383,-1.360099196434021
1,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,-25.919267654418945,-1.4582853317260742,-32.75385284423828,-1.6537009477615356,-32.7042121887207,-1.453289270401001,11.010011672973633,41.66920471191406,-26.286849975585938,0.40257251262664795,1.8968154047570296,-26.286849975585938,0.40257251262664795,-31.729482650756836,-1.5841032266616821,-25.857738494873047,-1.1130728721618652
2,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,-28.881437301635742,-1.16508948802948,-32.741546630859375,-1.2173349857330322,-32.694419860839844,-1.063921332359314,11.872425079345703,42.11967086791992,-26.887020111083984,1.91499662399292,3.6694182628097374,-26.887020111083984,1.91499662399292,-33.9040641784668,-1.2960628271102905,-26.17717933654785,-0.8333360552787781
3,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,-31.84273910522461,-0.8719794154167175,-37.759361267089844,-4.056197166442871,-37.6081657409668,-3.554225206375122,6.094176292419434,45.409061431884766,-30.32578468322754,1.3850631713867188,2.7194469947143323,-30.32578468322754,1.3850631713867188,-37.730350494384766,-2.5075180530548096,-29.226646423339844,-1.2284982204437256
4,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,-34.80412292480469,-0.5788613557815552,-38.089752197265625,-3.3902556896209717,-37.825706481933594,-2.8977434635162354,7.13481330871582,42.59952926635742,-30.96102523803711,3.226780414581299,5.4085403866818655,-30.96102523803711,3.226780414581299,-39.362186431884766,-3.060767650604248,-29.30635643005371,-3.0450973510742188
5,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,-38.077056884765625,-0.2521708011627197,-47.043678283691406,-0.372569739818573,-47.302757263183594,0.40231069922447205,99.017578125,50.89807891845703,-39.40053939819336,2.2601094245910645,2.8395700195738223,-39.40053939819336,2.2601094245910645,-44.5212287902832,-1.9039390087127686,-44.074764251708984,-0.6291612386703491
6,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,-41.34334182739258,0.07385636121034622,-51.81388473510742,1.0276379585266113,-51.7908935546875,1.8516839742660522,53.5239372253418,45.813777923583984,-41.432701110839844,-0.3549433946609497,0.4380117717293586,-41.432701110839844,-0.3549433946609497,-50.27350997924805,-0.45857784152030945,-54.15827178955078,1.149721384048462
7,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,-44.61831283569336,0.40075016021728516,-55.695167541503906,0.7258738279342651,-55.67182540893555,1.3402328491210938,53.28987121582031,40.57838439941406,-43.94269943237305,-2.5202713012695312,2.9981360624915996,-43.94269943237305,-2.5202713012695312,-55.207767486572266,0.3332662284374237,-55.384525299072266,1.51753568649292
8,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,-47.93851089477539,0.7270652055740356,-55.38252639770508,0.8341972231864929,-55.31098556518555,1.6038086414337158,50.53617858886719,42.35130310058594,-43.09613800048828,-1.6123969554901123,5.377886057771906,-43.09613800048828,-1.6123969554901123,-57.489994049072266,0.832476019859314,-54.684715270996094,1.7669143676757812
9,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,-51.25859451293945,1.0533686876296997,-59.47618103027344,-0.388387531042099,-59.605567932128906,0.5304596424102783,113.89126586914062,38.04747009277344,-63.758323669433594,3.3261382579803467,12.704672782312088,-63.758323669433594,3.3261382579803467,-60.112327575683594,0.6023087501525879,-72.23770141601562,3.939427375793457
