Experiment,Frames,GRU,Kalman,MS,MS_grid,B_MLE_m,C_MLE_m,BC_MLE_m,BC_P90_m,BC_LSR5_pct,B_Jump_pct,C_Jump_pct,PureMS_latency_ms,PureMS_FPS
temporal_1frame,1,yes,fixed,yes,6,2.024404572800971,1.6992818351014143,1.9086704460250679,3.6497184374396463,97.62308998302207,0.0,0.0,0.0,0.0
temporal_2frame,2,yes,fixed,yes,6,2.0752371782103407,1.7331109690543973,1.9534503159810885,3.720627073302232,97.11375212224108,0.0,0.0,0.0,0.0
temporal_3frame,3,yes,fixed,yes,6,2.071423137666487,1.7367875282480454,1.9523027085073472,3.713148294591923,97.25523486134692,0.0,0.0,0.0,0.0
abl_ms_only,3,no,none,no,6,5.270653143304821,4.524776543699596,5.005143023807546,9.362000524354825,54.83870967741935,2.3296703296703294,2.386634844868735,0.0,0.0
abl_ms_gru,3,yes,none,no,6,5.528630310328434,4.977145961875333,5.332318111586498,9.553028046181927,51.10356536502547,2.769230769230769,2.704852824184566,0.0,0.0
abl_ms_gru_kalman,3,yes,fixed,no,6,4.494628501061211,3.9718153220528882,4.308522394894694,7.985969319818429,63.61063950198076,0.04395604395604395,0.0,0.0,0.0
sens_ms_grid4x4,3,yes,fixed,yes,4,2.205803494552673,1.872281970579735,2.0870796470263695,4.146376130076688,94.56706281833617,0.0,0.0,3.3212777299577922,301.0889426620484
sens_ms_grid5x5,3,yes,fixed,yes,5,2.071039992266535,1.7362946630617972,1.9518805060923528,3.7106849258423855,97.25523486134692,0.0,0.0,4.349819103003255,229.89461775768282
sens_ms_grid6x6,3,yes,fixed,yes,6,2.071423137666487,1.7367875282480454,1.9523027085073472,3.713148294591923,97.25523486134692,0.0,0.0,8.209359844524045,121.81217767753695
sens_ms_grid7x7,3,yes,fixed,yes,7,2.069850354403934,1.7353603101463624,1.9507817421583127,3.7098443199610047,97.34012450481042,0.0,0.0,7.691781035209192,130.0089011143832
sens_ms_grid8x8,3,yes,fixed,yes,8,2.070381199740076,1.7358278708725765,1.951290060035686,3.712346977237927,97.34012450481042,0.0,0.0,11.537872747478472,86.67108936684568
runtime_e2e,3,yes,fixed,yes,6,2.0714064004686814,1.7369075296963141,1.9523346462435431,3.7133721696384994,97.25523486134692,0.0,0.0,0.0,0.0
