Experiment,Motion,Kalman,GRU,MS,MS_grid,B_MLE_m,C_MLE_m,BC_MLE_m,BC_P90_m,BC_LSR5_pct,B_Jump_pct,C_Jump_pct,MS_latency_ms,MS_FPS
full_model,velocity,fixed,yes,yes,6,2.161884088508094,1.747494904500919,2.014373733816236,3.9787656481717373,95.67062818336163,0.0,0.0,0.0,0.0
abl_gru_only,velocity,none,yes,no,6,6.284029232237117,5.5035959992814085,6.006217968213834,10.328115793859004,42.27504244482173,5.846153846153846,4.534606205250596,0.0,0.0
abl_gru_kalman,velocity,fixed,yes,no,6,4.724017631086852,4.04553659781074,4.4824983498584,8.55875490317069,60.95076400679116,0.04395604395604395,0.15910898965791567,0.0,0.0
design_motion_none,none,fixed,yes,yes,6,2.4763119263493785,2.2638299369419252,2.4006745911273706,4.414503137691327,94.39728353140917,0.0,0.0,0.0,0.0
design_motion_acceleration,quadratic,fixed,yes,yes,6,2.1625010724218097,1.7481014405775834,2.0149869986074247,3.9563511172697265,95.81211092246745,0.0,0.0,0.0,0.0
design_kalman_none,velocity,none,yes,yes,6,2.7869944055644673,2.3389798639381514,2.627514413100996,4.6664622336437915,92.27504244482174,1.2307692307692308,0.7955449482895784,0.0,0.0
design_kalman_learned,velocity,learned,yes,yes,6,2.2184186715692675,1.7517612174563826,2.0523023508918454,4.115786697176617,95.16129032258063,0.0,0.0,0.0,0.0
sens_ms_grid4x4,velocity,fixed,yes,yes,4,2.3216231765777824,1.9344931586752057,2.1838162828252523,4.600744190550907,92.07696661007357,0.0,0.0,7.121855171868487,140.41285253174286
sens_ms_grid5x5,velocity,fixed,yes,yes,5,2.1617629483635694,1.7470824853778872,2.01414890692724,3.981358950068752,95.6989247311828,0.0,0.0,8.004604749897664,124.92809217254413
sens_ms_grid6x6,velocity,fixed,yes,yes,6,2.161884088508094,1.747494904500919,2.014373733816236,3.9787656481717373,95.67062818336163,0.0,0.0,10.040951817798536,99.59215203357569
sens_ms_grid7x7,velocity,fixed,yes,yes,7,2.160407251785116,1.7445407952207426,2.0123710315366776,3.9787769458347824,95.81211092246745,0.0,0.0,11.019056203604418,90.75187398289995
sens_ms_grid8x8,velocity,fixed,yes,yes,8,2.160720904858564,1.7449283432087703,2.012710989025106,3.9782772645405253,95.7838143746463,0.0,0.0,12.950987754835976,77.2141877461504
sens_ms_bandwidth1,velocity,fixed,yes,yes,6,24.283942448806854,10.258973978169008,19.29146640577844,51.283124332801265,36.53084323712507,62.28571428571429,40.01591089896579,0.0,0.0
sens_ms_bandwidth2,velocity,fixed,yes,yes,6,2.9606142090534506,2.232696961889903,2.70149709051023,5.077467693501532,89.58687040181098,3.9120879120879124,0.7159904534606205,0.0,0.0
sens_ms_bandwidth3,velocity,fixed,yes,yes,6,2.3375237332001872,1.9382197712972922,2.195383273643356,4.305714707705172,94.6236559139785,0.0,0.0,0.0,0.0
sens_ms_bandwidth4,velocity,fixed,yes,yes,6,2.239326855951883,1.8314662758157134,2.094140492111673,4.1225996203711635,95.30277306168648,0.0,0.0,0.0,0.0
sens_ms_bandwidth5,velocity,fixed,yes,yes,6,2.1940360219520607,1.7818990981861564,2.0473274056256576,4.057584851204057,95.55744199207695,0.0,0.0,0.0,0.0
sens_ms_bandwidth6,velocity,fixed,yes,yes,6,2.1729352475955297,1.759136963500096,2.0256352358830068,4.008324146660346,95.67062818336163,0.0,0.0,0.0,0.0
sens_ms_bandwidth7,velocity,fixed,yes,yes,6,2.161884088508094,1.747494904500919,2.014373733816236,3.9787656481717373,95.67062818336163,0.0,0.0,0.0,0.0
sens_ms_bandwidth8,velocity,fixed,yes,yes,6,2.155458910993808,1.7408407445030174,2.0078670452763734,3.971352235967051,95.64233163554046,0.0,0.0,0.0,0.0
sens_ms_bandwidth9,velocity,fixed,yes,yes,6,2.1513976201478204,1.7366754453972493,2.0037687305507017,3.962674763514888,95.58573853989813,0.0,0.0,0.0,0.0
sens_ms_bandwidth10,velocity,fixed,yes,yes,6,2.1486541440210205,1.7338822995528413,2.001007573466134,3.9559700981032595,95.55744199207696,0.0,0.0,0.0,0.0
sens_ms_bandwidth11,velocity,fixed,yes,yes,6,2.1467057103159397,1.7319111385152766,1.999051049499518,3.9518474846733436,95.58573853989813,0.0,0.0,0.0,0.0
sens_ms_bandwidth12,velocity,fixed,yes,yes,6,2.145270070072943,1.7304668427714045,1.9976123281529274,3.9512862878047423,95.6140350877193,0.0,0.0,0.0,0.0
sens_ms_bandwidth13,velocity,fixed,yes,yes,6,2.144176573534562,1.7293718658722481,1.996518304649675,3.951857746036209,95.64233163554046,0.0,0.0,0.0,0.0
sens_ms_bandwidth14,velocity,fixed,yes,yes,6,2.143324940501236,1.728519163457241,1.9956662909479406,3.949978161686904,95.67062818336163,0.0,0.0,0.0,0.0
runtime_e2e,velocity,fixed,yes,yes,6,2.16186362066762,1.747565417035112,2.0143856523117356,3.978940769039198,95.67062818336163,0.0,0.0,0.0,0.0
