Experiment,Frames,GRU,Kalman,MS,MS_grid,B_MLE_m,C_MLE_m,BC_MLE_m,BC_P90_m,BC_LSR5_pct,B_Jump_pct,C_Jump_pct,PureMS_latency_ms,PureMS_FPS
temporal_1frame,1,yes,fixed,yes,6,2.211811471886024,1.8217738954753055,2.072969572869418,4.132521929722935,95.35936615732881,0.0,0.0,0.0,0.0
temporal_2frame,2,yes,fixed,yes,6,2.2266306863813137,1.8223921799295266,2.0827336741808757,4.142703815120018,95.4442558007923,0.0,0.0,0.0,0.0
temporal_3frame,3,yes,fixed,yes,6,2.1902408004135374,1.7889797701487076,2.047403682113267,4.0772636426741915,95.5291454442558,0.0,0.0,0.0,0.0
abl_wc_only,3,no,none,no,6,6.069560996998243,5.121898524654768,5.7322210450434925,10.219601762021895,45.35936615732881,4.527472527472527,3.579952267303103,0.0,0.0
abl_wc_gru,3,yes,none,no,6,6.352002673556897,5.543321303363997,6.064135903974931,10.378946844463858,42.02037351443124,6.065934065934066,4.375497215592681,0.0,0.0
abl_wc_gru_kalman,3,yes,fixed,no,6,4.805021744477041,4.124429092562732,4.562750789154969,8.778300730352594,60.27164685908319,0.04395604395604395,0.15910898965791567,0.0,0.0
sens_ms_grid4x4,3,yes,fixed,yes,4,2.346561587359156,1.9799555972556138,2.2160606435135826,4.635707809148128,91.87889077532542,0.0,0.0,4.014279662099515,249.11069585943804
sens_ms_grid5x5,3,yes,fixed,yes,5,2.190162623651962,1.7886711258977996,2.0472434657077807,4.07883612444696,95.55744199207695,0.0,0.0,5.044105821842415,198.25119363470037
sens_ms_grid6x6,3,yes,fixed,yes,6,2.1902408004135374,1.7889797701487076,2.047403682113267,4.0772636426741915,95.5291454442558,0.0,0.0,7.023941278161518,142.3702107403929
sens_ms_grid7x7,3,yes,fixed,yes,7,2.1888715504097065,1.786131825600403,2.045508060367232,4.067544006548082,95.55744199207695,0.0,0.0,10.125265338080862,98.76284389694221
sens_ms_grid8x8,3,yes,fixed,yes,8,2.1892053151972224,1.7864288632148428,2.0458287513619555,4.067328439459866,95.5291454442558,0.0,0.0,10.3682633626665,96.44816735662287
runtime_e2e,3,yes,fixed,yes,6,2.1901251052335184,1.7890206505059834,2.047343723216756,4.075979625886124,95.5291454442558,0.0,0.0,0.0,0.0
