protocol,controlled_gt_prior,reference_protocol,gt_prior_jitter_limit_m,prior_center_x,prior_center_y,prior_jitter_x,prior_jitter_y,progress_capped_to_gt,direct_kalman_ms_enabled,ms_grid_size,kalman_x,kalman_y,frame_reference_x,frame_reference_y,ms_lattice_index,ms_lattice_x,ms_lattice_y,ms_x,ms_y,ms_support,ms_mode_count,ms_shift_from_kalman_m,ms_latency_ms,frame_id,image_path,gt_x,gt_y,gt_progress_s,gt_cross_e,gt_waypoint_leg,gt_step_parallel,gt_step_norm_m,controlled_gt_motion_envelope,gt_velocity_parallel,gt_heading_deg,gt_turn_rate_deg_per_frame,predicted_progress_s,predicted_cross_e,predicted_x,predicted_y,motion_prediction_error_m,kalman_progress_std_m,acquisition_hypothesis_count,acquisition_radius_m,acquisition_selected_index,acquisition_target_index,acquisition_confidence,acquisition_margin,selected_hypothesis_center_s,selected_hypothesis_center_e,selected_candidate_capture,bank_candidate_capture,search_grid_size,search_candidate_count,forward_only_search,search_heading_deg,raw_top1_x,raw_top1_y,softms_x,softms_y,softms_mode_count,visual_anchor_x,visual_anchor_y,visual_anchor_s,visual_anchor_e,visual_entropy,visual_margin,visual_var_s,visual_var_e,candidate_capture,measurement_s,measurement_e,visual_measurement_error_m,measurement_var_s,measurement_var_e,local_visual_confidence,kalman_raw_measurement_s,kalman_raw_measurement_e,kalman_used_measurement_s,kalman_used_measurement_e,kalman_measurement_clip_s,kalman_measurement_clip_e,kalman_posterior_projection_m,kalman_step_limited,kalman_step_limit_m,kalman_motion_step_s,kalman_motion_step_e,v_parallel,v_cross,a_parallel,a_cross,heading_residual_deg,turn_rate_deg_per_frame,estimated_heading_deg,polynomial_heading_deg,heading_error_deg,poly_next_step_parallel,poly_next_step_cross,kalman_nis,kalman_r_scale,final_progress_s,final_cross_e,waypoint_leg_before_update,waypoint_leg,target_waypoint,route_remaining_m,route_leg_progress,progress_error_m,speed_error_m_per_frame,final_x,final_y,final_step_m,gt_step_for_jump_m,excess_step_over_gt_m,abnormal_jump,error_final_m,end_to_end_latency_ms
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,-22.286636481787085,-5.560398167149495,-3.505890021826147,-3.400800055043172,0,1,6,-18.780745674413577,-2.1595981213156596,-18.780746459960938,-2.1595981121063232,80930,-18.37133026123047,-0.3426637351512909,-18.84526824951172,-0.9512825608253479,0.9461042284965515,1,1.2100370475404096,0.0,0,/yh/study/uav-sat/v36_GvsK/v36_training_data/routes/route_C/vi/vi_000000.jpg,-18.780746459960938,-2.1595981121063232,7.820911271948188e-07,7.418177846642066e-08,0,0.0,0.0,1,0.0,173.90999929632898,0.0,0.0,0.0,-18.780745674413577,-2.1595981213156596,7.856013413017934e-07,3.7908871486338582,1,0.0,0,0,0.7702486294625074,1.0,3.125312566757202,3.753549337387085,0,0,6,18,1,173.90999929632898,-37.296630859375,-0.22260963916778564,-35.54669952392578,-3.3409528732299805,1,-36.01709747314453,-1.048288106918335,17.256977081298828,0.7235755324363708,0.3990405201911926,0.3472084403038025,4.318165302276611,7.039966106414795,0,14.630420684814453,0.70661461353302,14.647473865388031,5.727385520935059,7.957452774047852,0.7702486294625074,14.630420684814453,0.70661461353302,4.368183731021896,0.70661461353302,10.262236953792558,0.0,0.0,1,0.0,0.0,0.0,0.6911373138427734,-0.0668097585439682,-0.5487202405929565,-0.052234068512916565,0.21671547238173125,0.0,174.12671476871068,174.12671476871068,0.21671547238173122,0.4171257019042969,-0.09134971350431442,0.12475667701469197,1.0,0.1923492872295708,-1.1946511658733638,0,0,1,731.3710022997175,0.0002629290912568491,0.1923485051384436,0.6911373138427734,-18.84526824951172,-0.9512825608253479,0.0,0.0,0.0,0,1.2100369964568367,nan
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,-29.320126756208943,-4.996454472878796,-3.4008591017899956,-3.5381691411527214,0,1,6,-25.748580145905187,-1.489312527040164,-25.919267654418945,-1.4582853317260742,80434,-27.833980560302734,-0.28263363242149353,-27.687463760375977,-0.6398918032646179,0.9205304384231567,1,2.1167865353980986,0.0,1,/yh/study/uav-sat/v36_GvsK/v36_training_data/routes/route_C/vi/vi_000001.jpg,-25.919267654418945,-1.4582853317260742,7.172638198106864,0.05997471900717796,0,7.172888153292986,7.172888153292986,1,7.172888153292986,174.38907188095573,0.4790725846267536,7.172638198106864,-0.03674536943435669,-25.90900656827615,-1.3621110855927747,0.0967200884415348,4.843336162379966,1,0.0,0,0,0.7055877492843893,1.0,10.178937911987305,3.9389750957489014,1,1,6,18,1,173.98584970766052,-37.296630859375,-0.22260963916778564,-37.40284729003906,-2.6999671459198,1,-37.352821350097656,-0.7895376682281494,18.612613677978516,0.6079930067062378,0.5105271339416504,0.26522296667099,9.615884780883789,5.617275238037109,1,15.58586311340332,0.5833559036254883,8.42948879468841,11.221433639526367,6.510591506958008,0.7055877492843893,15.58586311340332,0.5833559036254883,11.363004508638936,0.5833559036254883,4.222858604764386,0.0,0.0,1,7.0,7.1728681568780965,-0.03674536943435669,0.7007102370262146,-0.07716915756464005,-0.6193382740020752,-0.058977000415325165,0.28027836005620704,0.0,174.19027765638518,174.19027765638518,0.19879422457054655,0.3915581703186035,-0.10474349558353424,0.1367076932387264,1.0,9.017679252927351,-0.5662113097223868,0,0,1,722.5456723340197,0.012326586936545838,1.845041054820487,6.472177916266771,-27.687463760375977,-0.6398918032646179,8.847676850803396,7.172888153292986,1.6747886975104098,0,1.9484058705899039,nan
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,-32.171866822075074,-4.837355860378661,-3.2904295204393312,-3.672266372349181,0,1,6,-28.71992195952241,-1.1464272494262933,-28.881437301635742,-1.16508948802948,80434,-27.833980560302734,-0.28263363242149353,-32.102745056152344,-0.41579192876815796,0.9678739905357361,1,3.4608265017024697,0.0,2,/yh/study/uav-sat/v36_GvsK/v36_training_data/routes/route_C/vi/vi_000002.jpg,-28.881437301635742,-1.16508948802948,10.149196069256064,0.08269170281191505,0,2.976644557493125,2.976644557493125,1,2.976644557493125,174.34727015796543,-0.041801722990300653,9.990101173385264,0.013740028792397774,-28.715925141765137,-1.1134054075287785,0.1733941153621881,6.430806130829002,1,0.0,0,0,0.6769582915395652,1.0,13.031463623046875,4.083316802978516,0,0,6,18,1,174.0573994877131,-37.296630859375,-0.22260963916778564,-41.7426872253418,-1.6729679107666016,1,-41.134342193603516,0.11540771275758743,22.468799591064453,0.10933828353881836,0.5510295629501343,0.19990262389183044,17.18063735961914,5.68528413772583,0,19.21360206604004,0.07874225825071335,9.064406857188489,18.997570037841797,6.560781478881836,0.6769582915395652,19.21360206604004,0.07874225825071335,14.101736475119068,0.07874225825071335,5.11186559092097,0.0,0.0,1,2.9910604285026507,2.9904788962644986,-0.058978453278541565,0.7246055603027344,-0.08030052483081818,-0.6305629014968872,-0.059509001672267914,0.30677010252574777,0.0,174.21676939885472,174.21676939885472,0.1305007591107052,0.4099075198173523,-0.10786188393831253,0.0914834313793798,1.0,13.431817671159065,-0.3206269061606152,0,0,1,718.131533915788,0.01836042995049169,3.282621601903001,2.2520389971903905,-32.102745056152344,-0.41579192876815796,4.420964790018346,2.976644557493125,1.4443202325252216,0,3.3073056226517323,nan
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,-35.01743958123959,-4.674853821484464,-3.1747004760149813,-3.8028744060677466,0,1,6,-31.683524441617823,-0.7553701009779052,-31.84273910522461,-0.8719794154167175,80186,-32.565303802490234,-0.2526208460330963,-32.78651428222656,-0.4126884639263153,0.9764664173126221,1,1.1549966635702673,0.0,3,/yh/study/uav-sat/v36_GvsK/v36_training_data/routes/route_C/vi/vi_000003.jpg,-31.84273910522461,-0.8719794154167175,13.12488189497482,0.1054019036524543,0,2.9757724856927044,2.9757724856927044,1,2.9757724856927044,174.34726770228437,-2.4556810541204664e-06,12.979027598082876,-0.02370605701391281,-31.684010807904208,-0.7590738395622045,0.19478793964019656,8.466928382382847,1,0.0,0,0,0.4720377126889016,1.0,15.878216743469238,4.223620414733887,0,0,6,18,1,174.11317896128173,-51.490604400634766,-0.13258513808250427,-47.65911102294922,-0.5178281664848328,1,-47.808860778808594,1.0229038000106812,29.201927185058594,-0.08493306487798691,0.5800948739051819,0.04262843728065491,11.096002578735352,6.333009719848633,0,25.638736724853516,-0.13341368734836578,12.51613341211188,14.268081665039062,7.178363800048828,0.4720377126889016,25.638736724853516,-0.13341368734836578,16.527131307977356,-0.13341368734836578,9.11160541687616,0.0,0.0,1,2.989291783221349,2.9884554680311344,-0.0707055926322937,0.9954670667648315,-0.04176937788724899,-0.3021427392959595,-0.014056036248803139,0.08358358619438479,0.0,173.99358288252336,173.99358288252336,0.35368481976101407,0.844465970993042,-0.047565530985593796,0.02584025757673061,1.0,14.11205727626128,-0.25117141198958526,0,0,1,717.4512943106859,0.019290273693520373,0.9871753812864608,1.9803054189278728,-32.78651428222656,-0.4126884639263153,0.6837762689799644,2.9757724856927044,0.0,0,1.04959981080697,nan
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,-37.857903164306414,-4.508640038984245,-3.0537802395017297,-3.9297786832026897,0,1,6,-34.65933714769868,-0.48548540274184865,-34.80412292480469,-0.5788613557815552,80186,-32.565303802490234,-0.2526208460330963,-36.01651382446289,-0.33802109956741333,0.9440296292304993,1,1.3651645514968045,0.0,4,/yh/study/uav-sat/v36_GvsK/v36_training_data/routes/route_C/vi/vi_000004.jpg,-34.80412292480469,-0.5788613557815552,16.100650121172926,0.12811286366612776,0,2.9758548895661856,2.9758548895661856,1,2.9758548895661856,174.34727021093266,2.508648307008251e-06,15.96646046366934,-0.08223116422961946,-34.648375059166,-0.3839406626745048,0.24950245339943983,8.007820877802114,1,0.0,0,0,0.6912579297021642,1.0,18.72028350830078,4.359691143035889,1,1,6,18,1,174.0713203337163,-51.490604400634766,-0.13258513808250427,-48.001155853271484,-0.6078168153762817,1,-48.61763000488281,0.7649779319763184,29.978769302368164,0.2573399543762207,0.5366960167884827,0.1412358283996582,9.498733520507812,5.660453796386719,1,26.208961486816406,0.18939200043678284,10.108497108739773,14.057242393493652,6.471850395202637,0.6912579297021642,26.208961486816406,0.18939200043678284,20.117419770350292,0.18939200043678284,6.091541716466114,0.0,0.0,1,2.988025938979481,2.987523555436063,-0.0547906719148159,1.2987431287765503,-0.01612231880426407,-0.09013023972511292,0.02083815261721611,-0.07793563340059248,0.0,173.83206366292836,173.83206366292836,0.5152065480042983,1.253669023513794,-0.007408530917018652,0.0674600649182829,1.0,17.331749733753853,0.01725499750219201,0,0,1,714.2316018531932,0.023691385983396894,1.2310996125809268,1.6771117607896353,-36.01651382446289,-0.33802109956741333,3.230862463514532,2.9758548895661856,0.2550075739483466,0,1.2360807912864435,nan
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,-41.004842975164706,-4.304938624144119,-2.9277860903990813,-4.0527678229814,0,1,6,-37.95813134776946,-0.39311604045948445,-38.077056884765625,-0.2521708011627197,79938,-37.296630859375,-0.22260963916778564,-38.89043426513672,-0.23637638986110687,0.9412912130355835,1,0.9453867186507352,0.0,5,/yh/study/uav-sat/v36_GvsK/v36_training_data/routes/route_C/vi/vi_000005.jpg,-38.077056884765625,-0.2521708011627197,19.38977197054549,0.1504933176997437,0,3.2891979911131446,3.2891979911131446,1,3.2891979911131446,174.29985586865408,-0.047414342278598545,19.266504640707513,-0.013619599662496908,-37.93707438970809,-0.10206155651736734,0.20525078380004272,7.679083208661325,1,0.0,0,0,0.704110365646094,1.0,21.871074676513672,4.490999698638916,0,0,6,18,1,173.98758050027456,-56.221927642822266,-0.10258004069328308,-52.5034294128418,-0.8193946480751038,1,-53.43092346191406,0.4320990741252899,34.729583740234375,1.0989850759506226,0.5111305713653564,0.23573988676071167,12.381767272949219,4.20097541809082,0,30.834030151367188,1.0088908672332764,11.476405868665907,18.481277465820312,4.972281455993652,0.704110365646094,30.834030151367188,1.0088908672332764,23.452808146234272,1.0088908672332764,7.381222005132916,0.0,0.0,1,3.300087161501807,3.2999168893599253,-0.033523079007864,1.6781502962112427,0.0045011164620518684,0.07059015333652496,0.053690191358327866,-0.23227456326974097,0.0,173.67772473305922,173.67772473305922,0.6221311355948481,1.7135584354400635,0.024399742484092712,0.07688383033758324,1.0,20.200234672318068,0.22107968581148604,0,0,1,711.363116914629,0.027612420207352675,0.810462701772579,1.611047694901902,-38.89043426513672,-0.23637638986110687,2.8757173620392753,3.2891979911131446,0.0,0,0.8135307162779457,nan
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,-44.1401860619692,-4.097777656010714,-2.796844234576623,-4.17163401722106,0,1,6,-41.244801529740194,-0.1859844012443052,-41.34334182739258,0.07385636121034622,79690,-42.0279541015625,-0.19259993731975555,-41.80815124511719,-0.17814214527606964,0.9669767618179321,1,0.5634042978128683,0.0,6,/yh/study/uav-sat/v36_GvsK/v36_training_data/routes/route_C/vi/vi_000006.jpg,-41.34334182739258,0.07385636121034622,22.672211946844765,0.17282802228696428,0,3.282515961429067,3.282515961429067,1,3.282515961429067,174.29985092199666,-4.946657410540945e-06,22.549731106046796,0.26541648334925316,-41.23137496994625,-0.03120363268864601,0.15353885333837236,6.810173227967928,1,0.0,0,0,0.6257300459711067,1.0,25.01070213317871,4.617638111114502,1,1,6,18,1,173.8791309834167,-51.490604400634766,-0.13258513808250427,-51.55649948120117,-1.331315040588379,1,-51.31388854980469,0.4325828552246094,32.62454605102539,0.873906672000885,0.5491706132888794,0.09736958146095276,12.601858139038086,5.028138160705566,1,28.671045303344727,0.7703753113746643,6.028520913271558,20.25982666015625,5.757228851318359,0.6257300459711067,28.671045303344727,0.7703753113746643,26.52048873246734,0.7703753113746643,2.150556570877387,0.0,0.0,1,3.293190611097324,3.2931664693245426,-0.012609771452844143,2.0234594345092773,0.018276039510965347,0.1070382371544838,0.0778588280081749,-0.3512349275072217,0.0,173.55876436882176,173.55876436882176,0.7410865531749184,2.0772900581359863,0.04447215422987938,0.08608454114930307,1.0,23.107663543726517,0.4727162495484061,0,0,1,708.4556880432206,0.031586688280106044,0.4354515968817516,1.2590565269197898,-41.80815124511719,-0.17814214527606964,2.9182980660838496,3.282515961429067,0.0,0,0.5287258666614246,nan
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,-47.2794025398481,-3.8854232629079872,-2.6610897041547403,-4.286173423125272,0,1,6,-44.54402735689983,-0.06937233956904343,-44.61831283569336,0.40075016021728516,79442,-46.75927734375,-0.16259177029132843,-45.706783294677734,-0.04017508774995804,0.9503397941589355,1,1.1631224571607048,0.0,7,/yh/study/uav-sat/v36_GvsK/v36_training_data/routes/route_C/vi/vi_000007.jpg,-44.61831283569336,0.40075016021728516,25.963380910728766,0.19522249050012924,0,3.291245153591544,3.291245153591544,1,3.291245153591544,174.29985734525803,6.423261370735073e-06,25.847944242554632,0.42512559877842304,-44.52791818159279,0.15989777790561577,0.2572568046819528,6.111407028918638,1,0.0,0,0,0.6887450814195409,1.0,28.15472984313965,4.739523410797119,1,1,6,18,1,173.767002669309,-51.490604400634766,-0.13258513808250427,-55.66274642944336,-1.0383422374725342,1,-55.31692886352539,0.3450908064842224,36.5957145690918,1.385589599609375,0.4805496633052826,0.10871824622154236,17.362852096557617,4.0,1,32.61678695678711,1.257237195968628,6.737632169268148,26.41059112548828,4.689216136932373,0.6887450814195409,32.61678695678711,1.257237195968628,29.99199321645837,1.257237195968628,2.624793740328739,0.0,0.0,1,3.3012860269181945,3.301283124737121,0.00437742518261075,2.3690741062164307,0.02264798805117607,0.15466409921646118,0.09528691321611404,-0.48517181552127764,0.0,173.4248274808077,173.4248274808077,0.8750298644503451,2.446913480758667,0.0495733842253685,0.11752166000952446,1.0,26.99893056223481,0.7491357812256196,0,0,1,704.5644210247123,0.03690579975564284,1.0355496515060452,0.9221710473751132,-45.706783294677734,-0.04017508774995804,3.9010725149403576,3.291245153591544,0.6098273613488137,0,1.1743862287921427,nan
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,-50.45917713416896,-3.6691213481962457,-2.5206662393935693,-4.396186553770281,0,1,6,-47.89014133924427,-0.06557741181251386,-47.93851089477539,0.7270652055740356,79442,-46.75927734375,-0.16259177029132843,-47.63640594482422,0.1023683026432991,0.9494248628616333,1,0.3042817993005401,0.0,8,/yh/study/uav-sat/v36_GvsK/v36_training_data/routes/route_C/vi/vi_000008.jpg,-47.93851089477539,0.7270652055740356,29.29946028508333,0.2229906082666523,0,3.3361949374037283,3.3361949374037283,1,3.3361949374037283,174.38689418808866,0.08703684283063444,29.185724151372035,0.6692370906168635,-47.87275916290708,0.2712707992043977,0.46051257433595977,5.3726345113211815,1,0.0,0,0,0.8067469162543953,1.0,31.339508056640625,4.861785888671875,0,0,6,18,1,173.6472413319892,-60.95325469970703,-0.07257647067308426,-59.24061584472656,-1.944286584854126,1,-59.5384635925293,0.12623977661132812,40.770206451416016,2.05107045173645,0.3340347111225128,0.468085914850235,4.842202663421631,5.664961338043213,0,36.78516387939453,1.920224905014038,7.675699483430751,14.564004898071289,6.335927963256836,0.8067469162543953,36.78516387939453,1.920224905014038,33.654278171071624,1.920224905014038,3.130885708322908,0.0,0.0,1,3.3461161343141836,3.3460850359873193,0.014426235109567642,2.436110258102417,0.024160267785191536,0.07218916714191437,0.09839287400245667,-0.5900684734121583,0.0,173.3199308229168,173.3199308229168,1.0669633651718602,2.4728293418884277,0.047892920672893524,0.18408285140176422,1.0,28.93278584215995,0.8121115417116297,0,0,1,702.6305657447871,0.039549255412258386,0.3666744429233795,0.9000846793013113,-47.63640594482422,0.1023683026432991,1.9348804071836445,3.3361949374037283,0.0,0,0.6939118253180688,nan
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,-53.63432066555253,-3.448109977798337,-2.375726152613076,-4.501478665428037,0,1,6,-51.23573447546495,0.0206523055449368,-51.25859451293945,1.0533686876296997,79194,-51.490604400634766,-0.13258513808250427,-51.26248550415039,0.2102496474981308,0.9616332054138184,1,0.19147524542730204,0.0,9,/yh/study/uav-sat/v36_GvsK/v36_training_data/routes/route_C/vi/vi_000009.jpg,-51.25859451293945,1.0533686876296997,32.635424637613376,0.25075808297800684,0,3.3360799142111426,3.3360799142111426,1,3.3360799142111426,174.38689958652537,5.39843670493681e-06,32.51391756950197,1.025808328617323,-51.219998670026825,0.26980170786571134,0.7845169538426782,4.420091766283889,1,0.0,0,0,0.8038854719372666,1.0,34.520179748535156,4.978874683380127,1,1,6,18,1,173.53268265114582,-60.95325469970703,-0.07257647067308426,-59.16958236694336,-1.9607295989990234,1,-59.457000732421875,0.14834338426589966,40.69154739379883,2.020449161529541,0.3393338620662689,0.435945063829422,4.930254936218262,5.516448974609375,1,36.70051193237305,1.8679916858673096,4.374971913090499,15.516636848449707,6.162254333496094,0.8038854719372666,36.70051193237305,1.8679916858673096,36.70051193237305,1.8679916858673096,0.0,0.0,0.0,1,3.3467041992507194,3.34664574622083,0.019779954105615616,2.7083511352539062,0.022750508040189743,0.1320810467004776,0.10867425054311752,-0.6995443462547094,0.0,173.21045495007425,173.21045495007425,1.1764446364511163,2.7751262187957764,0.04320920631289482,0.23343306098498753,1.0,32.54984671800675,1.0895317564566056,0,0,1,699.0135048689403,0.04449354474550679,0.08557791960662797,0.6277287789572363,-51.26248550415039,0.2102496474981308,3.6276840208500483,3.3360799142111426,0.2916041066389057,0,0.8431280185386925,nan
