frame_id,image_path,x_px,y_px,x_m,y_m,yaw_deg,timestamp_ns,source_index,source_target_path
0,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_1_s_025_v3d.jpg,306.885444,627.905835,76.721361,156.976459,57.585433,0,147,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_1_s_025_v3d.jpg
1,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_077_v3d.jpg,325.759908,632.061322,81.439977,158.015331,221.900596,1000000000,1617,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_077_v3d.jpg
2,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_1_s_080_v3d.jpg,369.328048,628.258078,92.332012,157.064520,124.671033,2000000000,107,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_1_s_080_v3d.jpg
3,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_2_s_014_v3d.jpg,380.004721,624.805842,95.001180,156.201461,23.927166,3000000000,297,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_2_s_014_v3d.jpg
4,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_062_v3d.jpg,408.233754,638.385301,102.058438,159.596325,333.512998,4000000000,1648,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_062_v3d.jpg
5,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_1_s_056_v3d.jpg,417.200449,651.317946,104.300112,162.829486,237.964462,5000000000,160,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_1_s_056_v3d.jpg
6,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_072_v3d.jpg,421.797457,679.237221,105.449364,169.809305,266.558809,6000000000,1629,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_072_v3d.jpg
7,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_1_s_063_v3d.jpg,435.687992,671.483105,108.921998,167.870776,222.909509,7000000000,180,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_1_s_063_v3d.jpg
8,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_037_v3d.jpg,447.545247,697.204349,111.886312,174.301087,140.851241,8000000000,1682,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_037_v3d.jpg
9,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_043_v3d.jpg,456.296474,694.425628,114.074119,173.606407,144.036205,9000000000,1763,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_043_v3d.jpg
10,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_039_v3d.jpg,449.380163,705.855063,112.345041,176.463766,305.707329,10000000000,1605,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_039_v3d.jpg
11,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_1_s_066_v3d.jpg,470.266266,713.932274,117.566567,178.483068,243.071252,11000000000,136,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_1_s_066_v3d.jpg
12,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_1_s_038_v3d.jpg,481.276013,727.994383,120.319003,181.998596,120.767605,12000000000,153,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_1_s_038_v3d.jpg
13,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_002_v3d.jpg,493.181464,738.081452,123.295366,184.520363,357.069464,13000000000,1687,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_002_v3d.jpg
14,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_069_v3d.jpg,517.005739,767.318644,129.251435,191.829661,269.129695,14000000000,1724,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_069_v3d.jpg
15,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_1_s_000_v3d.jpg,528.257924,755.109262,132.064481,188.777315,258.264988,15000000000,3109,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_1_s_000_v3d.jpg
16,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_099_v3d.jpg,545.892416,744.192641,136.473104,186.048160,143.829868,16000000000,1761,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_099_v3d.jpg
17,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_044_v3d.jpg,557.209719,757.602862,139.302430,189.400715,123.710699,17000000000,1604,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_044_v3d.jpg
18,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_3_s_097_v3d.jpg,582.332263,779.724338,145.583066,194.931085,80.275054,18000000000,3369,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_3_s_097_v3d.jpg
19,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_074_v3d.jpg,588.476468,768.863917,147.119117,192.215979,317.162572,19000000000,3291,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_074_v3d.jpg
20,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_078_v3d.jpg,606.970623,761.684298,151.742656,190.421074,39.087649,20000000000,1655,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_078_v3d.jpg
