variant,label,frames,MLE_m,MedLE_m,P90_m,P95_m,P99_m,CVaR90_m,LSR@3_pct,LSR@5_pct,LSR@10_pct,LSR@15_pct,LSR@20_pct,MS_Latency_ms
frames1,1 frame,317,3.808814663462715,3.592144090050847,6.686625105377214,8.117248663596381,9.54488685047661,8.271002112848656,41.6403785488959,72.55520504731862,99.6845425867508,100.0,100.0,5.195237543304885
frames2,2 frames,317,3.8050760834014805,3.6283248603998874,6.650092983089268,8.10796797843213,9.565057145339521,8.25622463519981,41.32492113564668,72.87066246056783,99.6845425867508,100.0,100.0,5.254940466503294
full,Full,317,3.7462152335626415,3.5274422110104657,6.710866723271867,7.9841755519612665,9.3491425918955,8.089198819941553,41.95583596214511,73.50157728706624,99.36908517350159,100.0,100.0,5.106522445914039
grid4,4x4,317,4.028106755796397,3.7308911613657565,7.245580857918977,8.818836824943297,10.319343117040699,8.907427087128791,37.85488958990536,70.66246056782335,98.10725552050474,100.0,100.0,2.9027572127475794
grid5,5x5,317,3.7545570316249934,3.526280282956109,6.710001861839577,7.999534875058757,9.348789146246471,8.09504872207744,41.95583596214511,73.18611987381703,99.36908517350159,100.0,100.0,4.8721031210199355
grid7,7x7,317,3.737852355605655,3.5256712667079966,6.673680544815222,7.982372993668,9.34855582145838,8.072831520542568,41.95583596214511,73.50157728706624,99.36908517350159,100.0,100.0,6.3549959472902575
grid8,8x8,317,3.738268047546537,3.5269693078728057,6.674328548127483,7.9832507154807795,9.349009156977885,8.074111943379718,41.95583596214511,73.50157728706624,99.36908517350159,100.0,100.0,8.093053537877875
no_gru,w/o GRU,317,4.204523575439059,3.9635638952467387,7.293332266429701,9.056829545416141,10.411151142208205,8.934141504430709,33.753943217665615,69.4006309148265,98.10725552050474,100.0,100.0,5.337158131293216
no_kalman,w/o Kalman,317,3.736471033587007,3.5285072245477256,6.689916655876531,7.953315961771219,9.442926174287686,8.091972384758828,41.6403785488959,74.13249211356468,99.36908517350159,100.0,100.0,5.604616388774568
no_ms,w/o MeanShift,317,6.401841600426451,6.176919378382507,11.30831675769777,12.472324245340033,14.44203989458138,12.802833665898515,18.92744479495268,35.96214511041009,84.22712933753942,99.36908517350159,100.0,0.0
