variant,label,frames,MLE_m,MedLE_m,P90_m,P95_m,P99_m,CVaR90_m,LSR@3_pct,LSR@5_pct,LSR@10_pct,LSR@15_pct,LSR@20_pct,MS_Latency_ms
frames1,1 frame,411,4.012733657556935,3.780890493504312,7.053730846000905,8.436909155005644,10.760864134748784,8.909002980305527,36.009732360097324,73.96593673965937,97.8102189781022,100.0,100.0,5.458407637134032
frames2,2 frames,411,3.9560573737726554,3.6891604080723184,7.023619498269977,8.2842642202931,10.582329019362012,8.739760403370607,35.76642335766424,74.45255474452554,97.8102189781022,100.0,100.0,5.7223061293346635
full,Full,411,4.088638190733987,3.892996256909309,6.976361747666849,8.399439654868484,10.927969014288184,8.827887136770798,34.0632603406326,70.07299270072993,97.8102189781022,100.0,100.0,5.138652724528694
grid4,4x4,411,4.712315112828883,4.472254361604016,8.399917236423136,9.697593462874305,11.952282427529164,10.031203126367839,29.1970802919708,55.961070559610704,95.62043795620438,100.0,100.0,2.9299236523998298
grid5,5x5,411,4.093058856131797,3.8917844344073025,6.975055228729513,8.399837980395114,10.92986232119164,8.825098653639838,34.306569343065696,69.58637469586375,97.8102189781022,100.0,100.0,4.8610403780346125
grid7,7x7,411,4.065131494932594,3.8699722633496805,6.955410495991001,8.396902138675145,10.928676241683734,8.774544201837541,34.54987834549878,71.28953771289538,97.8102189781022,100.0,100.0,6.332890959509389
grid8,8x8,411,4.065952671776295,3.8690373495030266,6.952812664646303,8.39909505856604,10.927424087186525,8.777277810966055,34.54987834549878,71.04622871046229,97.8102189781022,100.0,100.0,7.69489420173154
no_gru,w/o GRU,411,4.262713674182827,4.048898694099205,7.080359497003992,8.665316050050212,10.914224829514506,8.857619582003212,30.656934306569344,65.93673965936739,98.05352798053528,100.0,100.0,5.165309642414083
no_kalman,w/o Kalman,411,4.109153812370962,3.8971880805559835,7.110183536289927,8.672593533685111,11.12226015301432,8.913717831005771,33.57664233576642,69.82968369829685,98.29683698296837,100.0,100.0,5.199300433166003
no_ms,w/o MeanShift,411,7.805585053666568,7.754562803145967,12.730988286816894,14.52548809372596,15.564556747343623,14.45616068968565,11.435523114355231,27.49391727493917,70.07299270072993,96.59367396593674,100.0,0.0
