frame_id,image_path,x_px,y_px,x_m,y_m,yaw_deg,timestamp_ns,source_index,source_target_path
0,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_1_s_088_v3d.jpg,302.391193,602.246051,75.597798,150.561513,89.668679,0,121,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_1_s_088_v3d.jpg
1,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_1_s_066_v3d.jpg,363.133133,612.966137,90.783283,153.241534,243.071252,1000000000,136,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_1_s_066_v3d.jpg
2,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_1_s_038_v3d.jpg,368.638007,619.997192,92.159502,154.999298,120.767605,2000000000,153,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_1_s_038_v3d.jpg
3,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_015_v3d.jpg,400.573534,638.965980,100.143383,159.741495,259.372421,3000000000,1625,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_015_v3d.jpg
4,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_092_v3d.jpg,427.947962,646.156718,106.986991,161.539180,38.061848,4000000000,1798,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_092_v3d.jpg
5,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_090_v3d.jpg,419.619638,652.164030,104.904910,163.041008,93.809025,5000000000,1714,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_090_v3d.jpg
6,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_066_v3d.jpg,420.508482,661.832396,105.127121,165.458099,69.093327,6000000000,1736,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_066_v3d.jpg
7,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_098_v3d.jpg,436.868532,663.602630,109.217133,165.900657,139.455722,7000000000,1774,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_098_v3d.jpg
8,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_027_v3d.jpg,441.356624,669.957388,110.339156,167.489347,288.857880,8000000000,1744,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_027_v3d.jpg
9,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_059_v3d.jpg,498.256558,667.595805,124.564140,166.898951,37.372547,9000000000,1779,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_059_v3d.jpg
10,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_013_v3d.jpg,492.196546,655.513525,123.049136,163.878381,185.496893,10000000000,1749,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_013_v3d.jpg
11,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_046_v3d.jpg,498.843760,657.715993,124.710940,164.428998,244.232153,11000000000,1766,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_046_v3d.jpg
12,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_035_v3d.jpg,521.096527,662.644044,130.274132,165.661011,67.564049,12000000000,1738,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_035_v3d.jpg
13,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_086_v3d.jpg,520.556077,678.977363,130.139019,169.744341,46.156127,13000000000,1792,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_086_v3d.jpg
14,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_033_v3d.jpg,542.134648,680.665369,135.533662,170.166342,336.361571,14000000000,1713,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_033_v3d.jpg
15,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_089_v3d.jpg,542.252327,691.261224,135.563082,172.815306,282.999860,15000000000,1759,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_089_v3d.jpg
16,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_007_v3d.jpg,561.295579,695.797892,140.323895,173.949473,295.743141,16000000000,1742,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_007_v3d.jpg
17,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_023_v3d.jpg,570.042749,697.468242,142.510687,174.367061,130.232256,17000000000,1788,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_023_v3d.jpg
18,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_017_v3d.jpg,598.221677,696.140563,149.555419,174.035141,191.078678,18000000000,1752,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_017_v3d.jpg
19,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_048_v3d.jpg,600.681948,672.935763,150.170487,168.233941,241.532857,19000000000,1773,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_048_v3d.jpg
20,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_012_v3d.jpg,627.020237,674.151345,156.755059,168.537836,201.914001,20000000000,1718,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_012_v3d.jpg
21,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_040_v3d.jpg,636.092896,672.481616,159.023224,168.120404,199.932619,21000000000,1726,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_040_v3d.jpg
22,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_055_v3d.jpg,694.773385,682.229649,173.693346,170.557412,298.540737,22000000000,3220,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_055_v3d.jpg
23,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_082_v3d.jpg,712.229687,682.634754,178.057422,170.658688,258.313536,23000000000,3293,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_082_v3d.jpg
24,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_076_v3d.jpg,717.208923,680.433112,179.302231,170.108278,220.669802,24000000000,3216,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_076_v3d.jpg
25,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_077_v3d.jpg,735.305785,703.193057,183.826446,175.798264,193.069734,25000000000,3217,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_077_v3d.jpg
26,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_020_v3d.jpg,769.799049,706.523112,192.449762,176.630778,328.258524,26000000000,3294,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_020_v3d.jpg
27,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_091_v3d.jpg,751.942978,681.413594,187.985745,170.353399,345.669610,27000000000,3290,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_091_v3d.jpg
28,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_029_v3d.jpg,764.305979,680.459933,191.076495,170.114983,286.605644,28000000000,3283,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_029_v3d.jpg
29,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_095_v3d.jpg,801.955682,698.768523,200.488920,174.692131,335.534046,29000000000,3243,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_095_v3d.jpg
30,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_042_v3d.jpg,828.058842,726.586151,207.014710,181.646538,82.879667,30000000000,3223,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_042_v3d.jpg
31,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_014_v3d.jpg,824.027107,740.539381,206.006777,185.134845,10.408124,31000000000,3297,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_014_v3d.jpg
32,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_000_v3d.jpg,837.760576,753.614491,209.440144,188.403623,296.430394,32000000000,3209,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_000_v3d.jpg
33,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_047_v3d.jpg,842.489585,742.404839,210.622396,185.601210,127.074749,33000000000,3231,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_047_v3d.jpg
34,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_003_v3d.jpg,878.146991,732.788995,219.536748,183.197249,301.988441,34000000000,3251,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_003_v3d.jpg
35,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_011_v3d.jpg,900.997777,719.458664,225.249444,179.864666,232.814597,35000000000,4730,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_011_v3d.jpg
36,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_085_v3d.jpg,927.229253,733.818881,231.807313,183.454720,149.290052,36000000000,4732,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_085_v3d.jpg
37,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_054_v3d.jpg,946.446932,738.857927,236.611733,184.714482,202.849838,37000000000,4762,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_054_v3d.jpg
38,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_079_v3d.jpg,956.356435,750.076395,239.089109,187.519099,274.065584,38000000000,4770,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_079_v3d.jpg
39,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_083_v3d.jpg,964.416637,752.775354,241.104159,188.193839,22.250451,39000000000,4700,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_083_v3d.jpg
40,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_068_v3d.jpg,970.258537,759.238293,242.564634,189.809573,305.296269,40000000000,4767,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_068_v3d.jpg
41,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_059_v3d.jpg,974.677806,759.945106,243.669452,189.986276,182.448344,41000000000,4779,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_059_v3d.jpg
42,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_060_v3d.jpg,992.457828,743.473345,248.114457,185.868336,236.900037,42000000000,4795,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_060_v3d.jpg
43,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_076_v3d.jpg,1021.262107,747.465872,255.315527,186.866468,284.240844,43000000000,4716,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_076_v3d.jpg
44,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_029_v3d.jpg,1030.345466,748.469107,257.586367,187.117277,238.670474,44000000000,4783,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_029_v3d.jpg
45,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_019_v3d.jpg,1025.148142,750.706100,256.287036,187.676525,40.106089,45000000000,4745,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_019_v3d.jpg
46,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_069_v3d.jpg,1028.549109,757.697453,257.137277,189.424363,45.362508,46000000000,4724,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_069_v3d.jpg
47,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_017_v3d.jpg,1032.719933,765.305002,258.179983,191.326250,182.075743,47000000000,4752,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_017_v3d.jpg
48,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_037_v3d.jpg,1056.961854,800.515363,264.240463,200.128841,58.904342,48000000000,4782,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_037_v3d.jpg
49,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_090_v3d.jpg,1083.000562,808.405899,270.750140,202.101475,268.047787,49000000000,4714,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_090_v3d.jpg
50,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_077_v3d.jpg,1087.105520,809.538414,271.776380,202.384604,135.768335,50000000000,4717,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_077_v3d.jpg
51,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_013_v3d.jpg,1107.515739,808.024556,276.878935,202.006139,157.205432,51000000000,4749,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_013_v3d.jpg
52,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_071_v3d.jpg,1118.582285,809.661811,279.645571,202.415453,317.461592,52000000000,4796,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_071_v3d.jpg
53,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_044_v3d.jpg,1142.154901,809.517152,285.538725,202.379288,230.010743,53000000000,4704,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_3_2_s_044_v3d.jpg
54,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_098_v3d.jpg,1181.414912,818.183812,295.353728,204.545953,275.104474,54000000000,6274,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_098_v3d.jpg
55,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_009_v3d.jpg,1185.150178,818.055859,296.287544,204.513965,59.463927,55000000000,6228,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_009_v3d.jpg
56,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_011_v3d.jpg,1185.295999,810.535095,296.324000,202.633774,77.016614,56000000000,6230,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_011_v3d.jpg
57,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_002_v3d.jpg,1198.475636,804.733393,299.618909,201.183348,342.109837,57000000000,6287,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_002_v3d.jpg
58,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_051_v3d.jpg,1252.545857,815.157316,313.136464,203.789329,63.399638,58000000000,6299,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_051_v3d.jpg
59,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_034_v3d.jpg,1259.484534,818.593778,314.871133,204.648445,165.988385,59000000000,6241,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_034_v3d.jpg
60,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_035_v3d.jpg,1266.150164,827.438061,316.537541,206.859515,127.123111,60000000000,6238,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_035_v3d.jpg
61,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_004_v3d.jpg,1300.187932,837.265625,325.046983,209.316406,295.990682,61000000000,6215,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_004_v3d.jpg
62,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_007_v3d.jpg,1308.473902,831.794653,327.118475,207.948663,323.009061,62000000000,6242,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_007_v3d.jpg
63,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_077_v3d.jpg,1330.814969,845.056202,332.703742,211.264050,9.379980,63000000000,6217,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_077_v3d.jpg
64,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_073_v3d.jpg,1365.855849,856.928410,341.463962,214.232102,87.439535,64000000000,6212,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_073_v3d.jpg
65,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_095_v3d.jpg,1379.827681,858.494712,344.956920,214.623678,269.188529,65000000000,6243,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_095_v3d.jpg
66,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_089_v3d.jpg,1367.633735,846.666794,341.908434,211.666699,14.085979,66000000000,6259,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_089_v3d.jpg
67,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_000_v3d.jpg,1389.220945,836.905689,347.305236,209.226422,208.353136,67000000000,6209,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_4_2_s_000_v3d.jpg
68,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_5_2_s_065_v3d.jpg,1414.913988,854.697254,353.728497,213.674313,255.283693,68000000000,7737,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_5_2_s_065_v3d.jpg
69,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_5_2_s_035_v3d.jpg,1444.662041,853.200195,361.165510,213.300049,337.967712,69000000000,7738,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_5_2_s_035_v3d.jpg
70,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_5_2_s_083_v3d.jpg,1451.705544,850.637891,362.926386,212.659473,15.427952,70000000000,7700,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_5_2_s_083_v3d.jpg
71,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_5_2_s_051_v3d.jpg,1470.775614,853.496244,367.693904,213.374061,122.353472,71000000000,7799,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_5_2_s_051_v3d.jpg
72,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_5_2_s_080_v3d.jpg,1476.209904,854.434440,369.052476,213.608610,261.062661,72000000000,7707,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_5_2_s_080_v3d.jpg
73,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_5_2_s_043_v3d.jpg,1497.759099,869.105889,374.439775,217.276472,262.155627,73000000000,7763,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_5_2_s_043_v3d.jpg
74,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_5_2_s_041_v3d.jpg,1498.366549,888.713770,374.591637,222.178443,313.424413,74000000000,7771,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_5_2_s_041_v3d.jpg
75,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_5_3_s_053_v3d.jpg,1488.029369,900.691699,372.007342,225.172925,356.344946,75000000000,7801,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_5_3_s_053_v3d.jpg
