variant,label,frames,MLE_m,MedLE_m,P90_m,P95_m,P99_m,CVaR90_m,LSR@3_pct,LSR@5_pct,LSR@10_pct,LSR@15_pct,LSR@20_pct,MS_Latency_ms
frames1,1 frame,380,4.1317962101847625,3.7647081147604755,7.220859398876977,8.013527873391306,9.234075083758928,8.197628000713834,35.26315789473684,65.78947368421053,99.21052631578947,100.0,100.0,5.594857657394548
frames2,2 frames,380,4.142291825893075,3.776259140157185,7.23043698970368,8.046739593278947,8.992216496220294,8.173328138362294,35.526315789473685,66.05263157894737,99.47368421052632,100.0,100.0,5.1201893738437265
full,Full,380,4.133462859634151,3.7339233898619604,7.245112199736363,8.034036654909777,8.957748602818794,8.163220092127213,35.526315789473685,66.05263157894737,99.47368421052632,100.0,100.0,6.8720323567917685
grid4,4x4,380,4.8069610267264204,4.396267049798636,8.524530632651725,9.94507710617226,12.026791147332743,10.25796285085859,28.68421052631579,56.57894736842105,95.26315789473684,100.0,100.0,3.024299128626911
grid5,5x5,380,4.138678437220351,3.7342221460404867,7.2452649339563076,8.034206023568764,8.955335347869061,8.162661101955102,35.526315789473685,66.05263157894737,99.47368421052632,100.0,100.0,3.8145317677207355
grid7,7x7,380,4.102204128344302,3.7219943184709896,7.103337706607284,7.859179754964405,8.938145231673444,8.05305964947614,35.78947368421053,66.57894736842105,99.73684210526315,100.0,100.0,7.187223155613624
grid8,8x8,380,4.102893527524524,3.720951933991465,7.104205770212996,7.859602824690162,8.940536638774919,8.053772724103641,35.78947368421053,66.57894736842105,99.73684210526315,100.0,100.0,8.476118981273595
no_gru,w/o GRU,380,4.541338922863416,4.267507461445929,7.812293696242648,8.441216067178845,9.922636641771694,8.684475978824233,29.210526315789476,59.73684210526316,98.94736842105263,100.0,100.0,5.164818784889768
no_kalman,w/o Kalman,380,4.143404343684873,3.7280409936113097,7.263400300440238,8.046300192241873,9.06057803053,8.207646550649095,35.0,66.05263157894737,99.47368421052632,100.0,100.0,5.158657395890673
no_ms,w/o MeanShift,380,7.601429520089024,7.453343102479419,13.016848277880717,14.350135094094147,16.126678124403014,14.755695123223838,15.789473684210526,27.368421052631582,72.63157894736842,96.05263157894737,100.0,0.0
