City,View,Samples,Recall@1_pct,LSR@15_pct,HSR@15_pct,MLE_m,MedLE_m,MHE_deg,MedHE_deg
CityA,Sat,2251,90.75966237227898,98.4451354953354,97.37894269213683,5.319895130066223,4.749999046325684,4.6622737741710365,3.318594
CityB,Sat,2238,91.19749776586238,98.39142091152814,98.83824843610365,5.376717570772972,4.877377033233643,3.6357286333431635,2.7883918999999997
CityC,Sat,2322,91.21447028423772,98.83720930232558,98.3204134366925,5.229099694918601,4.72524094581604,3.8786694619844955,2.9350162500000003
CityD,Sat,2189,90.1324805847419,99.13202375513933,97.21333942439469,5.21707354475097,4.690761566162109,4.48047902507492,3.0531294
ALL,Sat,9000,90.83333333333333,98.7,97.94444444444444,5.28559126024776,4.754234075546265,4.160619780410888,3.0130489000000003
CityA,UAV,2251,81.20835184362505,89.60462016881387,79.29808973789427,8.579766476832194,7.247219562530518,12.710676442515327,6.8564944
CityB,UAV,2238,84.58445040214477,89.27613941018767,84.40571939231457,8.418688642425368,7.127032279968262,10.614957522122877,5.76422085
CityC,UAV,2322,87.08010335917312,88.97502153316107,71.74849267872524,8.653485793808859,7.254588603973389,13.774823220323428,8.4488255
CityD,UAV,2189,81.49840109639105,88.39652809502056,76.61032434901782,8.700138487262151,7.2414937019348145,13.395973385727274,7.603749
ALL,UAV,9000,83.63333333333334,89.06666666666668,77.96666666666667,8.588008520326474,7.231947660446167,12.630770318395669,7.12163625
